"GENE_NAME","Sumo","Diff","minLogP"
"APMAP","PIAS3",NA,NA
"APMAP","PIAS4",NA,NA
"APMAP","ZMIZ2","0.67","2.87"
"APMAP","ZNF451",NA,NA
"APTX","LAZSUL",NA,NA
"APTX","NSMCE2",NA,NA
"APTX","PIAS1",NA,NA
"APTX","PIAS2",NA,NA
"APTX","PIAS3",NA,NA
"APTX","PIAS4",NA,NA
"APTX","ZMIZ2","0.42","0.16"
"APTX","ZNF451",NA,NA
"ARID3A","LAZSUL",NA,NA
"ARID3A","NSMCE2",NA,NA
"ARID3A","PIAS1",NA,NA
"ARID3A","PIAS2",NA,NA
"ARID3A","PIAS3",NA,NA
"ARID3A","PIAS4","7.96","12.45"
"ARID3A","ZMIZ2",NA,NA
"ARID3A","ZNF451",NA,NA
"ARID5A","LAZSUL",NA,NA
"ARID5A","NSMCE2",NA,NA
"ARID5A","PIAS1",NA,NA
"ARID5A","PIAS2",NA,NA
"ARID5A","PIAS3",NA,NA
"ARID5A","PIAS4","4.88","6.54"
"ARID5A","ZMIZ2",NA,NA
"ARID5A","ZNF451",NA,NA
"ARID5B","LAZSUL",NA,NA
"ARID5B","NSMCE2",NA,NA
"ARID5B","PIAS1",NA,NA
"ARID5B","PIAS2",NA,NA
"ARID5B","PIAS3",NA,NA
"ARID5B","PIAS4",NA,NA
"ARID5B","ZMIZ2","0.24","0.11"
"ARID5B","ZNF451",NA,NA
"ARMCX1","LAZSUL",NA,NA
"ARMCX1","NSMCE2",NA,NA
"ARMCX1","PIAS1",NA,NA
"ARMCX1","PIAS2",NA,NA
"ARMCX1","PIAS3",NA,NA
"ARMCX1","PIAS4","4.86","8.2"
"ARMCX1","ZMIZ2","0.47","0.2"
"ARMCX1","ZNF451",NA,NA
"ASNS","LAZSUL",NA,NA
"ASNS","NSMCE2",NA,NA
"ASNS","PIAS1",NA,NA
"ASNS","PIAS2",NA,NA
"ASNS","PIAS3",NA,NA
"ASNS","PIAS4",NA,NA
"ASNS","ZMIZ2","0.02","0.01"
"ASNS","ZNF451",NA,NA
"ATAD5","LAZSUL",NA,NA
"ATAD5","NSMCE2",NA,NA
"ATAD5","PIAS1",NA,NA
"ATAD5","PIAS2",NA,NA
"ATAD5","PIAS3",NA,NA
"ATAD5","PIAS4","5.21","7.82"
"ATAD5","ZMIZ2",NA,NA
"ATAD5","ZNF451",NA,NA
"ATF4","LAZSUL",NA,NA
"ATF4","NSMCE2","5.43","3.32"
"ATF4","PIAS1",NA,NA
"ATF4","PIAS2",NA,NA
"ATF4","PIAS3",NA,NA
"ATF4","PIAS4","6.83","5.67"
"ATF4","ZMIZ2",NA,NA
"ATF4","ZNF451",NA,NA
"ATF6","LAZSUL",NA,NA
"ATF6","NSMCE2",NA,NA
"ATF6","PIAS1",NA,NA
"ATF6","PIAS2",NA,NA
"ATF6","PIAS3",NA,NA
"ATF6","PIAS4","3.61","5.04"
"ATF6","ZMIZ2",NA,NA
"ATF6","ZNF451",NA,NA
"ATF6B","LAZSUL",NA,NA
"ATF6B","NSMCE2","4.06","2.86"
"ATF6B","PIAS1",NA,NA
"ATF6B","PIAS2",NA,NA
"ATF6B","PIAS3",NA,NA
"ATF6B","PIAS4",NA,NA
"ATF6B","ZMIZ2","0.44","0.14"
"ATF6B","ZNF451",NA,NA
"ATRX","LAZSUL",NA,NA
"ATRX","NSMCE2",NA,NA
"ATRX","PIAS1",NA,NA
"ATRX","PIAS2",NA,NA
"ATRX","PIAS3",NA,NA
"ATRX","PIAS4","3.95","6.14"
"ATRX","ZMIZ2",NA,NA
"ATRX","ZNF451",NA,NA
"AXL","LAZSUL",NA,NA
"AXL","NSMCE2",NA,NA
"AXL","PIAS1",NA,NA
"AXL","PIAS2",NA,NA
"AXL","PIAS3",NA,NA
"AXL","PIAS4",NA,NA
"AXL","ZMIZ2","0.87","0.36"
"AXL","ZNF451",NA,NA
"BARD1","LAZSUL",NA,NA
"BARD1","NSMCE2","3.96","4.16"
"BARD1","PIAS1",NA,NA
"BARD1","PIAS2",NA,NA
"BARD1","PIAS3",NA,NA
"BARD1","PIAS4","3.51","3.2"
"BARD1","ZMIZ2",NA,NA
"BARD1","ZNF451",NA,NA
"BAZ2A","LAZSUL",NA,NA
"BAZ2A","NSMCE2",NA,NA
"BAZ2A","PIAS1","3.62","2.99"
"BAZ2A","PIAS2",NA,NA
"BAZ2A","PIAS3",NA,NA
"BAZ2A","PIAS4",NA,NA
"BAZ2A","ZMIZ2",NA,NA
"BAZ2A","ZNF451",NA,NA
"BBX","LAZSUL",NA,NA
"BBX","NSMCE2",NA,NA
"BBX","PIAS1",NA,NA
"BBX","PIAS2",NA,NA
"BBX","PIAS3",NA,NA
"BBX","PIAS4","7.49","10.39"
"BBX","ZMIZ2",NA,NA
"BBX","ZNF451",NA,NA
"BCL11A","LAZSUL",NA,NA
"BCL11A","NSMCE2",NA,NA
"BCL11A","PIAS1",NA,NA
"BCL11A","PIAS2",NA,NA
"BCL11A","PIAS3",NA,NA
"BCL11A","PIAS4","2.88","6.66"
"BCL11A","ZMIZ2",NA,NA
"BCL11A","ZNF451",NA,NA
"BCL11B","LAZSUL",NA,NA
"BCL11B","NSMCE2",NA,NA
"BCL11B","PIAS1",NA,NA
"BCL11B","PIAS2",NA,NA
"BCL11B","PIAS3",NA,NA
"BCL11B","PIAS4","6.05","13.62"
"BCL11B","ZMIZ2",NA,NA
"BCL11B","ZNF451",NA,NA
"BCL2L1","LAZSUL",NA,NA
"BCL2L1","NSMCE2",NA,NA
"BCL2L1","PIAS1",NA,NA
"BCL2L1","PIAS2",NA,NA
"BCL2L1","PIAS3",NA,NA
"BCL2L1","PIAS4",NA,NA
"BCL2L1","ZMIZ2","0.29","0.57"
"BCL2L1","ZNF451",NA,NA
"BEND3","LAZSUL",NA,NA
"BEND3","NSMCE2",NA,NA
"BEND3","PIAS1",NA,NA
"BEND3","PIAS2",NA,NA
"BEND3","PIAS3",NA,NA
"BEND3","PIAS4","3.12","5.91"
"BEND3","ZMIZ2",NA,NA
"BEND3","ZNF451",NA,NA
"BEND7","LAZSUL",NA,NA
"BEND7","NSMCE2",NA,NA
"BEND7","PIAS1",NA,NA
"BEND7","PIAS2",NA,NA
"BEND7","PIAS3",NA,NA
"BEND7","PIAS4","5.86","17.4"
"BEND7","ZMIZ2",NA,NA
"BEND7","ZNF451",NA,NA
"BHLHE40","LAZSUL",NA,NA
"BHLHE40","NSMCE2","4.94","3.49"
"BHLHE40","PIAS1",NA,NA
"BHLHE40","PIAS2",NA,NA
"BHLHE40","PIAS3",NA,NA
"BHLHE40","PIAS4","5.94","5.34"
"BHLHE40","ZMIZ2",NA,NA
"BHLHE40","ZNF451",NA,NA
"BHLHE41","LAZSUL",NA,NA
"BHLHE41","NSMCE2","4.19","3.33"
"BHLHE41","PIAS1",NA,NA
"BHLHE41","PIAS2",NA,NA
"BHLHE41","PIAS3",NA,NA
"BHLHE41","PIAS4","4.66","4.2"
"BHLHE41","ZMIZ2",NA,NA
"BHLHE41","ZNF451",NA,NA
"BLM","LAZSUL",NA,NA
"BLM","NSMCE2","4.29","8.88"
"BLM","PIAS1",NA,NA
"BLM","PIAS2",NA,NA
"BLM","PIAS3",NA,NA
"BLM","PIAS4",NA,NA
"BLM","ZMIZ2",NA,NA
"BLM","ZNF451",NA,NA
"BNC2","LAZSUL",NA,NA
"BNC2","NSMCE2","5.6","3.98"
"BNC2","PIAS1",NA,NA
"BNC2","PIAS2",NA,NA
"BNC2","PIAS3",NA,NA
"BNC2","PIAS4","5.92","4.53"
"BNC2","ZMIZ2",NA,NA
"BNC2","ZNF451",NA,NA
"BNIP2","LAZSUL",NA,NA
"BNIP2","NSMCE2",NA,NA
"BNIP2","PIAS1",NA,NA
"BNIP2","PIAS2",NA,NA
"BNIP2","PIAS3",NA,NA
"BNIP2","PIAS4","4.09","3.51"
"BNIP2","ZMIZ2","1.16","0.51"
"BNIP2","ZNF451",NA,NA
"BOP1","LAZSUL",NA,NA
"BOP1","NSMCE2",NA,NA
"BOP1","PIAS1","4","3"
"BOP1","PIAS2",NA,NA
"BOP1","PIAS3",NA,NA
"BOP1","PIAS4",NA,NA
"BOP1","ZMIZ2",NA,NA
"BOP1","ZNF451",NA,NA
"BPTF","LAZSUL",NA,NA
"BPTF","NSMCE2",NA,NA
"BPTF","PIAS1","4.18","4.61"
"BPTF","PIAS2",NA,NA
"BPTF","PIAS3",NA,NA
"BPTF","PIAS4",NA,NA
"BPTF","ZMIZ2",NA,NA
"BPTF","ZNF451",NA,NA
"BRAT1","LAZSUL",NA,NA
"BRAT1","NSMCE2",NA,NA
"BRAT1","PIAS1",NA,NA
"BRAT1","PIAS2",NA,NA
"BRAT1","PIAS3",NA,NA
"BRAT1","PIAS4",NA,NA
"BRAT1","ZMIZ2","2.02","0.92"
"BRAT1","ZNF451",NA,NA
"BRCA1","LAZSUL",NA,NA
"BRCA1","NSMCE2","5.91","6.88"
"BRCA1","PIAS1",NA,NA
"BRCA1","PIAS2",NA,NA
"BRCA1","PIAS3",NA,NA
"BRCA1","PIAS4",NA,NA
"BRCA1","ZMIZ2",NA,NA
"BRCA1","ZNF451",NA,NA
"BRCC3","LAZSUL",NA,NA
"BRCC3","NSMCE2",NA,NA
"BRCC3","PIAS1",NA,NA
"BRCC3","PIAS2",NA,NA
"BRCC3","PIAS3",NA,NA
"BRCC3","PIAS4",NA,NA
"BRCC3","ZMIZ2","1.99","1.17"
"BRCC3","ZNF451",NA,NA
"BRIX1","LAZSUL",NA,NA
"BRIX1","NSMCE2",NA,NA
"BRIX1","PIAS1",NA,NA
"BRIX1","PIAS2",NA,NA
"BRIX1","PIAS3",NA,NA
"BRIX1","PIAS4",NA,NA
"BRIX1","ZMIZ2","1.6","0.92"
"BRIX1","ZNF451",NA,NA
"BUB1","LAZSUL",NA,NA
"BUB1","NSMCE2",NA,NA
"BUB1","PIAS1",NA,NA
"BUB1","PIAS2",NA,NA
"BUB1","PIAS3",NA,NA
"BUB1","PIAS4",NA,NA
"BUB1","ZMIZ2","2.25","0.8"
"BUB1","ZNF451",NA,NA
"BYSL","LAZSUL",NA,NA
"BYSL","NSMCE2",NA,NA
"BYSL","PIAS1",NA,NA
"BYSL","PIAS2",NA,NA
"BYSL","PIAS3",NA,NA
"BYSL","PIAS4",NA,NA
"BYSL","ZMIZ2","1.6","1.08"
"BYSL","ZNF451",NA,NA
"C14orf93","LAZSUL",NA,NA
"C14orf93","NSMCE2",NA,NA
"C14orf93","PIAS1",NA,NA
"C14orf93","PIAS2",NA,NA
"C14orf93","PIAS3",NA,NA
"C14orf93","PIAS4","5.49","18.74"
"C14orf93","ZMIZ2",NA,NA
"C14orf93","ZNF451",NA,NA
"C18orf25","LAZSUL",NA,NA
"C18orf25","NSMCE2","5.74","17.06"
"C18orf25","PIAS1",NA,NA
"C18orf25","PIAS2",NA,NA
"C18orf25","PIAS3",NA,NA
"C18orf25","PIAS4",NA,NA
"C18orf25","ZMIZ2",NA,NA
"C18orf25","ZNF451",NA,NA
"C1orf43","LAZSUL",NA,NA
"C1orf43","NSMCE2",NA,NA
"C1orf43","PIAS1",NA,NA
"C1orf43","PIAS2",NA,NA
"C1orf43","PIAS3",NA,NA
"C1orf43","PIAS4",NA,NA
"C1orf43","ZMIZ2","1","0.51"
"C1orf43","ZNF451",NA,NA
"CAPZA1","LAZSUL",NA,NA
"CAPZA1","NSMCE2",NA,NA
"CAPZA1","PIAS1",NA,NA
"CAPZA1","PIAS2",NA,NA
"CAPZA1","PIAS3",NA,NA
"CAPZA1","PIAS4","4.89","5.6"
"CAPZA1","ZMIZ2",NA,NA
"CAPZA1","ZNF451",NA,NA
"CASP8AP2","LAZSUL",NA,NA
"CASP8AP2","NSMCE2","5.19","3.45"
"CASP8AP2","PIAS1",NA,NA
"CASP8AP2","PIAS2",NA,NA
"CASP8AP2","PIAS3",NA,NA
"CASP8AP2","PIAS4",NA,NA
"CASP8AP2","ZMIZ2",NA,NA
"CASP8AP2","ZNF451",NA,NA
"CBX2","LAZSUL",NA,NA
"CBX2","NSMCE2","5.4","6.92"
"CBX2","PIAS1",NA,NA
"CBX2","PIAS2",NA,NA
"CBX2","PIAS3",NA,NA
"CBX2","PIAS4",NA,NA
"CBX2","ZMIZ2",NA,NA
"CBX2","ZNF451",NA,NA
"CCAR1","LAZSUL",NA,NA
"CCAR1","NSMCE2",NA,NA
"CCAR1","PIAS1","4.23","4.57"
"CCAR1","PIAS2",NA,NA
"CCAR1","PIAS3",NA,NA
"CCAR1","PIAS4",NA,NA
"CCAR1","ZMIZ2",NA,NA
"CCAR1","ZNF451",NA,NA
"CCNL1","LAZSUL",NA,NA
"CCNL1","NSMCE2",NA,NA
"CCNL1","PIAS1",NA,NA
"CCNL1","PIAS2",NA,NA
"CCNL1","PIAS3",NA,NA
"CCNL1","PIAS4",NA,NA
"CCNL1","ZMIZ2","1.13","0.6"
"CCNL1","ZNF451",NA,NA
"CCT5","LAZSUL",NA,NA
"CCT5","NSMCE2",NA,NA
"CCT5","PIAS1","5.09","3.9"
"CCT5","PIAS2",NA,NA
"CCT5","PIAS3",NA,NA
"CCT5","PIAS4",NA,NA
"CCT5","ZMIZ2",NA,NA
"CCT5","ZNF451",NA,NA
"CCT6A","LAZSUL",NA,NA
"CCT6A","NSMCE2",NA,NA
"CCT6A","PIAS1","5.26","4.54"
"CCT6A","PIAS2",NA,NA
"CCT6A","PIAS3",NA,NA
"CCT6A","PIAS4",NA,NA
"CCT6A","ZMIZ2",NA,NA
"CCT6A","ZNF451",NA,NA
"CCT8","LAZSUL",NA,NA
"CCT8","NSMCE2",NA,NA
"CCT8","PIAS1",NA,NA
"CCT8","PIAS2",NA,NA
"CCT8","PIAS3",NA,NA
"CCT8","PIAS4",NA,NA
"CCT8","ZMIZ2","1.33","0.84"
"CCT8","ZNF451",NA,NA
"CDC23","LAZSUL",NA,NA
"CDC23","NSMCE2",NA,NA
"CDC23","PIAS1",NA,NA
"CDC23","PIAS2",NA,NA
"CDC23","PIAS3",NA,NA
"CDC23","PIAS4",NA,NA
"CDC23","ZMIZ2","1.31","0.82"
"CDC23","ZNF451",NA,NA
