"GENE_NAME","Sumo","Diff","minLogP"
"AATF","NSMCE2","5.01","10.98"
"AATF","PIAS1",NA,NA
"AATF","PIAS2",NA,NA
"AATF","PIAS3",NA,NA
"AATF","PIAS4",NA,NA
"ACADVL","NSMCE2",NA,NA
"ACADVL","PIAS1",NA,NA
"ACADVL","PIAS2","2.19","5.86"
"ACADVL","PIAS3",NA,NA
"ACADVL","PIAS4",NA,NA
"ACO2","NSMCE2","2.88","2.2"
"ACO2","PIAS1",NA,NA
"ACO2","PIAS2","3.02","2.43"
"ACO2","PIAS3",NA,NA
"ACO2","PIAS4",NA,NA
"ACTA1;ACTC1;ACTG2;ACTA2","NSMCE2",NA,NA
"ACTA1;ACTC1;ACTG2;ACTA2","PIAS1",NA,NA
"ACTA1;ACTC1;ACTG2;ACTA2","PIAS2","4.65","2.17"
"ACTA1;ACTC1;ACTG2;ACTA2","PIAS3",NA,NA
"ACTA1;ACTC1;ACTG2;ACTA2","PIAS4",NA,NA
"ACTB","NSMCE2",NA,NA
"ACTB","PIAS1",NA,NA
"ACTB","PIAS2","0.82","3.45"
"ACTB","PIAS3",NA,NA
"ACTB","PIAS4",NA,NA
"ADAM9","NSMCE2",NA,NA
"ADAM9","PIAS1",NA,NA
"ADAM9","PIAS2",NA,NA
"ADAM9","PIAS3","0.67","4.4"
"ADAM9","PIAS4",NA,NA
"ADAR","NSMCE2","2.22","2.75"
"ADAR","PIAS1",NA,NA
"ADAR","PIAS2",NA,NA
"ADAR","PIAS3",NA,NA
"ADAR","PIAS4",NA,NA
"ADCK5","NSMCE2",NA,NA
"ADCK5","PIAS1","2.21","2.66"
"ADCK5","PIAS2",NA,NA
"ADCK5","PIAS3",NA,NA
"ADCK5","PIAS4",NA,NA
"AHNAK","NSMCE2",NA,NA
"AHNAK","PIAS1",NA,NA
"AHNAK","PIAS2","2.88","2.13"
"AHNAK","PIAS3",NA,NA
"AHNAK","PIAS4",NA,NA
"AIG1","NSMCE2",NA,NA
"AIG1","PIAS1","3.75","3.15"
"AIG1","PIAS2",NA,NA
"AIG1","PIAS3",NA,NA
"AIG1","PIAS4",NA,NA
"ALDOA","NSMCE2",NA,NA
"ALDOA","PIAS1",NA,NA
"ALDOA","PIAS2","3.58","2.64"
"ALDOA","PIAS3",NA,NA
"ALDOA","PIAS4",NA,NA
"ALPP;ALPPL2","NSMCE2",NA,NA
"ALPP;ALPPL2","PIAS1",NA,NA
"ALPP;ALPPL2","PIAS2",NA,NA
"ALPP;ALPPL2","PIAS3",NA,NA
"ALPP;ALPPL2","PIAS4","4.1","3.71"
"ANKRD28","NSMCE2",NA,NA
"ANKRD28","PIAS1",NA,NA
"ANKRD28","PIAS2","2.28","2.69"
"ANKRD28","PIAS3",NA,NA
"ANKRD28","PIAS4",NA,NA
"ANXA1","NSMCE2",NA,NA
"ANXA1","PIAS1",NA,NA
"ANXA1","PIAS2","2.84","2.55"
"ANXA1","PIAS3",NA,NA
"ANXA1","PIAS4",NA,NA
"ANXA2;ANXA2P2","NSMCE2",NA,NA
"ANXA2;ANXA2P2","PIAS1",NA,NA
"ANXA2;ANXA2P2","PIAS2","1.88","4"
"ANXA2;ANXA2P2","PIAS3",NA,NA
"ANXA2;ANXA2P2","PIAS4",NA,NA
"ANXA5","NSMCE2",NA,NA
"ANXA5","PIAS1",NA,NA
"ANXA5","PIAS2","2.84","2.2"
"ANXA5","PIAS3",NA,NA
"ANXA5","PIAS4",NA,NA
"AP1B1","NSMCE2",NA,NA
"AP1B1","PIAS1",NA,NA
"AP1B1","PIAS2","2.43","2.31"
"AP1B1","PIAS3",NA,NA
"AP1B1","PIAS4",NA,NA
"AP1M1","NSMCE2",NA,NA
"AP1M1","PIAS1",NA,NA
"AP1M1","PIAS2","1.52","4.62"
"AP1M1","PIAS3",NA,NA
"AP1M1","PIAS4",NA,NA
"APP","NSMCE2",NA,NA
"APP","PIAS1",NA,NA
"APP","PIAS2","3.01","4.31"
"APP","PIAS3",NA,NA
"APP","PIAS4",NA,NA
"ARID1B","NSMCE2",NA,NA
"ARID1B","PIAS1",NA,NA
"ARID1B","PIAS2",NA,NA
"ARID1B","PIAS3","4.38","2.37"
"ARID1B","PIAS4",NA,NA
"ARL6IP1","NSMCE2",NA,NA
"ARL6IP1","PIAS1",NA,NA
"ARL6IP1","PIAS2",NA,NA
"ARL6IP1","PIAS3","3.68","2.31"
"ARL6IP1","PIAS4",NA,NA
"ATAD2","NSMCE2","3.19","3.81"
"ATAD2","PIAS1",NA,NA
"ATAD2","PIAS2",NA,NA
"ATAD2","PIAS3",NA,NA
"ATAD2","PIAS4",NA,NA
"ATAD5","NSMCE2","2.69","3.71"
"ATAD5","PIAS1",NA,NA
"ATAD5","PIAS2",NA,NA
"ATAD5","PIAS3",NA,NA
"ATAD5","PIAS4",NA,NA
"ATP1A1","NSMCE2",NA,NA
"ATP1A1","PIAS1","0.78","4.05"
"ATP1A1","PIAS2",NA,NA
"ATP1A1","PIAS3",NA,NA
"ATP1A1","PIAS4",NA,NA
"ATP1B1","NSMCE2",NA,NA
"ATP1B1","PIAS1",NA,NA
"ATP1B1","PIAS2",NA,NA
"ATP1B1","PIAS3","0.93","4"
"ATP1B1","PIAS4",NA,NA
"ATP2B1","NSMCE2",NA,NA
"ATP2B1","PIAS1","1.18","4"
"ATP2B1","PIAS2",NA,NA
"ATP2B1","PIAS3",NA,NA
"ATP2B1","PIAS4",NA,NA
"ATP5A1","NSMCE2",NA,NA
"ATP5A1","PIAS1",NA,NA
"ATP5A1","PIAS2","3.22","2.13"
"ATP5A1","PIAS3",NA,NA
"ATP5A1","PIAS4",NA,NA
"ATP5B","NSMCE2",NA,NA
"ATP5B","PIAS1",NA,NA
"ATP5B","PIAS2","2.26","2.42"
"ATP5B","PIAS3",NA,NA
"ATP5B","PIAS4",NA,NA
"ATRN","NSMCE2",NA,NA
"ATRN","PIAS1","2.13","3.24"
"ATRN","PIAS2",NA,NA
"ATRN","PIAS3",NA,NA
"ATRN","PIAS4",NA,NA
"BARD1","NSMCE2","3.16","4.72"
"BARD1","PIAS1",NA,NA
"BARD1","PIAS2",NA,NA
"BARD1","PIAS3",NA,NA
"BARD1","PIAS4",NA,NA
"BAZ1B","NSMCE2","1.08","2.67"
"BAZ1B","PIAS1",NA,NA
"BAZ1B","PIAS2",NA,NA
"BAZ1B","PIAS3",NA,NA
"BAZ1B","PIAS4",NA,NA
"BBX","NSMCE2","2.58","3.8"
"BBX","PIAS1",NA,NA
"BBX","PIAS2",NA,NA
"BBX","PIAS3",NA,NA
"BBX","PIAS4",NA,NA
"BCLAF1","NSMCE2","3.59","2.19"
"BCLAF1","PIAS1",NA,NA
"BCLAF1","PIAS2",NA,NA
"BCLAF1","PIAS3",NA,NA
"BCLAF1","PIAS4",NA,NA
"BEND3","NSMCE2","2.82","4.93"
"BEND3","PIAS1",NA,NA
"BEND3","PIAS2",NA,NA
"BEND3","PIAS3",NA,NA
"BEND3","PIAS4",NA,NA
"BHLHE41","NSMCE2","4.46","2.86"
"BHLHE41","PIAS1",NA,NA
"BHLHE41","PIAS2",NA,NA
"BHLHE41","PIAS3",NA,NA
"BHLHE41","PIAS4",NA,NA
"BLM","NSMCE2","4.1","3.28"
"BLM","PIAS1",NA,NA
"BLM","PIAS2",NA,NA
"BLM","PIAS3",NA,NA
"BLM","PIAS4",NA,NA
"BMPR2","NSMCE2",NA,NA
"BMPR2","PIAS1","3.13","2.84"
"BMPR2","PIAS2",NA,NA
"BMPR2","PIAS3",NA,NA
"BMPR2","PIAS4",NA,NA
"BMS1","NSMCE2","4.33","3.88"
"BMS1","PIAS1",NA,NA
"BMS1","PIAS2",NA,NA
"BMS1","PIAS3",NA,NA
"BMS1","PIAS4",NA,NA
"BOP1","NSMCE2","2.25","2.29"
"BOP1","PIAS1",NA,NA
"BOP1","PIAS2",NA,NA
"BOP1","PIAS3",NA,NA
"BOP1","PIAS4",NA,NA
"BRCA1","NSMCE2","4.75","5.57"
"BRCA1","PIAS1",NA,NA
"BRCA1","PIAS2",NA,NA
"BRCA1","PIAS3",NA,NA
"BRCA1","PIAS4",NA,NA
"BRIX1","NSMCE2","2.87","2.45"
"BRIX1","PIAS1",NA,NA
"BRIX1","PIAS2",NA,NA
"BRIX1","PIAS3",NA,NA
"BRIX1","PIAS4",NA,NA
"BTAF1","NSMCE2",NA,NA
"BTAF1","PIAS1",NA,NA
"BTAF1","PIAS2","2.46","3.43"
"BTAF1","PIAS3",NA,NA
"BTAF1","PIAS4",NA,NA
"BUB1","NSMCE2",NA,NA
"BUB1","PIAS1",NA,NA
"BUB1","PIAS2",NA,NA
"BUB1","PIAS3",NA,NA
"BUB1","PIAS4","5.63","10.78"
"C10orf35","NSMCE2",NA,NA
"C10orf35","PIAS1",NA,NA
"C10orf35","PIAS2",NA,NA
"C10orf35","PIAS3","1.36","3.39"
"C10orf35","PIAS4",NA,NA
"C10orf90","NSMCE2",NA,NA
"C10orf90","PIAS1","3.15","3.66"
"C10orf90","PIAS2",NA,NA
"C10orf90","PIAS3",NA,NA
"C10orf90","PIAS4",NA,NA
"C11orf84","NSMCE2","3.98","2.39"
"C11orf84","PIAS1",NA,NA
"C11orf84","PIAS2",NA,NA
"C11orf84","PIAS3",NA,NA
"C11orf84","PIAS4",NA,NA
"C14orf93","NSMCE2","4.37","11.24"
"C14orf93","PIAS1",NA,NA
"C14orf93","PIAS2",NA,NA
"C14orf93","PIAS3",NA,NA
"C14orf93","PIAS4",NA,NA
"C18orf25","NSMCE2","5.1","10.8"
"C18orf25","PIAS1",NA,NA
"C18orf25","PIAS2",NA,NA
"C18orf25","PIAS3",NA,NA
"C18orf25","PIAS4",NA,NA
"C20orf24","NSMCE2",NA,NA
"C20orf24","PIAS1",NA,NA
"C20orf24","PIAS2","4.87","6.47"
"C20orf24","PIAS3",NA,NA
"C20orf24","PIAS4",NA,NA
"C3orf17","NSMCE2","3.29","2.5"
"C3orf17","PIAS1",NA,NA
"C3orf17","PIAS2",NA,NA
"C3orf17","PIAS3",NA,NA
"C3orf17","PIAS4",NA,NA
"C6orf89","NSMCE2",NA,NA
"C6orf89","PIAS1","2.6","2.58"
"C6orf89","PIAS2",NA,NA
"C6orf89","PIAS3",NA,NA
"C6orf89","PIAS4",NA,NA
"CADM4","NSMCE2",NA,NA
"CADM4","PIAS1",NA,NA
"CADM4","PIAS2",NA,NA
"CADM4","PIAS3","0.71","4.34"
"CADM4","PIAS4",NA,NA
"CALR","NSMCE2",NA,NA
"CALR","PIAS1",NA,NA
"CALR","PIAS2","3.78","3.76"
"CALR","PIAS3",NA,NA
"CALR","PIAS4",NA,NA
"CAND1","NSMCE2",NA,NA
"CAND1","PIAS1",NA,NA
"CAND1","PIAS2","1.53","4.14"
"CAND1","PIAS3",NA,NA
"CAND1","PIAS4",NA,NA
"CANX","NSMCE2",NA,NA
"CANX","PIAS1","1.03","5.34"
"CANX","PIAS2",NA,NA
"CANX","PIAS3",NA,NA
"CANX","PIAS4",NA,NA
"CASC5","NSMCE2","3.26","4.99"
"CASC5","PIAS1",NA,NA
"CASC5","PIAS2",NA,NA
"CASC5","PIAS3",NA,NA
"CASC5","PIAS4",NA,NA
"CASP8AP2","NSMCE2","6.12","4.05"
"CASP8AP2","PIAS1",NA,NA
"CASP8AP2","PIAS2",NA,NA
"CASP8AP2","PIAS3",NA,NA
"CASP8AP2","PIAS4",NA,NA
"CBX2","NSMCE2","4.13","5.98"
"CBX2","PIAS1",NA,NA
"CBX2","PIAS2",NA,NA
"CBX2","PIAS3",NA,NA
"CBX2","PIAS4",NA,NA
"CCNL1","NSMCE2",NA,NA
"CCNL1","PIAS1",NA,NA
"CCNL1","PIAS2",NA,NA
"CCNL1","PIAS3","0.78","3.43"
"CCNL1","PIAS4",NA,NA
"CCT2","NSMCE2",NA,NA
"CCT2","PIAS1",NA,NA
"CCT2","PIAS2","4.29","5.28"
"CCT2","PIAS3",NA,NA
"CCT2","PIAS4",NA,NA
"CCT3","NSMCE2",NA,NA
"CCT3","PIAS1",NA,NA
"CCT3","PIAS2","5.31","2.49"
"CCT3","PIAS3",NA,NA
"CCT3","PIAS4",NA,NA
"CCT4","NSMCE2",NA,NA
"CCT4","PIAS1",NA,NA
"CCT4","PIAS2","3.89","7.52"
"CCT4","PIAS3",NA,NA
"CCT4","PIAS4",NA,NA
"CCT5","NSMCE2",NA,NA
"CCT5","PIAS1",NA,NA
"CCT5","PIAS2","3.76","8.37"
"CCT5","PIAS3",NA,NA
"CCT5","PIAS4",NA,NA
"CCT6A","NSMCE2",NA,NA
"CCT6A","PIAS1",NA,NA
"CCT6A","PIAS2","2.64","4.28"
"CCT6A","PIAS3",NA,NA
"CCT6A","PIAS4",NA,NA
"CCT8","NSMCE2",NA,NA
"CCT8","PIAS1",NA,NA
"CCT8","PIAS2","1.71","4.77"
"CCT8","PIAS3",NA,NA
"CCT8","PIAS4",NA,NA
"CCZ1B;CCZ1","NSMCE2",NA,NA
"CCZ1B;CCZ1","PIAS1",NA,NA
"CCZ1B;CCZ1","PIAS2","2.5","2.83"
"CCZ1B;CCZ1","PIAS3",NA,NA
"CCZ1B;CCZ1","PIAS4",NA,NA
"CD151","NSMCE2",NA,NA
"CD151","PIAS1",NA,NA
"CD151","PIAS2",NA,NA
"CD151","PIAS3","2.17","2.51"
"CD151","PIAS4",NA,NA
"CDC5L","NSMCE2","2.16","4.05"
"CDC5L","PIAS1",NA,NA
"CDC5L","PIAS2",NA,NA
"CDC5L","PIAS3",NA,NA
"CDC5L","PIAS4",NA,NA
"CDK11A","NSMCE2","4.7","2.95"
"CDK11A","PIAS1",NA,NA
"CDK11A","PIAS2",NA,NA
"CDK11A","PIAS3",NA,NA
"CDK11A","PIAS4",NA,NA
"CDK11B","NSMCE2","3.73","7.86"
"CDK11B","PIAS1",NA,NA
"CDK11B","PIAS2",NA,NA
"CDK11B","PIAS3",NA,NA
"CDK11B","PIAS4",NA,NA
"CDK5RAP3","NSMCE2",NA,NA
"CDK5RAP3","PIAS1",NA,NA
"CDK5RAP3","PIAS2",NA,NA
"CDK5RAP3","PIAS3","2.46","5.06"
"CDK5RAP3","PIAS4",NA,NA
"CDSN","NSMCE2","3.24","2.51"
"CDSN","PIAS1",NA,NA
"CDSN","PIAS2",NA,NA
"CDSN","PIAS3",NA,NA
"CDSN","PIAS4",NA,NA
"CENPB","NSMCE2","4.69","12.46"
"CENPB","PIAS1",NA,NA
"CENPB","PIAS2",NA,NA
"CENPB","PIAS3",NA,NA
"CENPB","PIAS4",NA,NA
"CENPC","NSMCE2","4.53","5.01"
"CENPC","PIAS1",NA,NA
"CENPC","PIAS2",NA,NA
"CENPC","PIAS3",NA,NA
"CENPC","PIAS4",NA,NA
"CENPP","NSMCE2","2.48","2.4"
"CENPP","PIAS1",NA,NA
"CENPP","PIAS2",NA,NA
"CENPP","PIAS3",NA,NA
"CENPP","PIAS4",NA,NA
"CEPT1","NSMCE2",NA,NA
"CEPT1","PIAS1",NA,NA
"CEPT1","PIAS2","3.48","2.7"
"CEPT1","PIAS3",NA,NA
"CEPT1","PIAS4",NA,NA
"CERS2","NSMCE2",NA,NA
"CERS2","PIAS1",NA,NA
"CERS2","PIAS2","0.75","3.67"
"CERS2","PIAS3",NA,NA
"CERS2","PIAS4",NA,NA
"CHD4","NSMCE2","0.9","3.64"
"CHD4","PIAS1",NA,NA
"CHD4","PIAS2",NA,NA
"CHD4","PIAS3",NA,NA
"CHD4","PIAS4",NA,NA
"CIRH1A","NSMCE2","0.57","5.17"
"CIRH1A","PIAS1",NA,NA
"CIRH1A","PIAS2",NA,NA
"CIRH1A","PIAS3",NA,NA
"CIRH1A","PIAS4",NA,NA
"CLK3","NSMCE2",NA,NA
"CLK3","PIAS1",NA,NA
"CLK3","PIAS2",NA,NA
"CLK3","PIAS3","0.64","4.36"
"CLK3","PIAS4",NA,NA
"CNP","NSMCE2",NA,NA
"CNP","PIAS1",NA,NA
"CNP","PIAS2","2.7","3.06"
"CNP","PIAS3",NA,NA
"CNP","PIAS4",NA,NA
"COA1","NSMCE2",NA,NA
"COA1","PIAS1",NA,NA
"COA1","PIAS2","2.29","2.35"
"COA1","PIAS3",NA,NA
"COA1","PIAS4",NA,NA
"COIL","NSMCE2","5.82","11.35"
"COIL","PIAS1",NA,NA
"COIL","PIAS2",NA,NA
"COIL","PIAS3",NA,NA
"COIL","PIAS4",NA,NA
"COPG1","NSMCE2",NA,NA
"COPG1","PIAS1",NA,NA
"COPG1","PIAS2","1.48","3.92"
"COPG1","PIAS3",NA,NA
"COPG1","PIAS4",NA,NA
"COPS3","NSMCE2",NA,NA
"COPS3","PIAS1",NA,NA
"COPS3","PIAS2","2.98","2.55"
"COPS3","PIAS3",NA,NA
"COPS3","PIAS4",NA,NA
"CRYAB","NSMCE2",NA,NA
"CRYAB","PIAS1",NA,NA
"CRYAB","PIAS2","3.32","3.45"
"CRYAB","PIAS3",NA,NA
"CRYAB","PIAS4",NA,NA
"CSRP2BP","NSMCE2","3.62","10.14"
"CSRP2BP","PIAS1",NA,NA
"CSRP2BP","PIAS2",NA,NA
"CSRP2BP","PIAS3",NA,NA
"CSRP2BP","PIAS4",NA,NA
"CSTA","NSMCE2",NA,NA
"CSTA","PIAS1",NA,NA
"CSTA","PIAS2","2.4","2.55"
"CSTA","PIAS3",NA,NA
"CSTA","PIAS4",NA,NA
"CYB5R3","NSMCE2",NA,NA
"CYB5R3","PIAS1","1.26","3.09"
"CYB5R3","PIAS2",NA,NA
"CYB5R3","PIAS3",NA,NA
"CYB5R3","PIAS4",NA,NA
"CYBRD1","NSMCE2",NA,NA
"CYBRD1","PIAS1",NA,NA
"CYBRD1","PIAS2",NA,NA
"CYBRD1","PIAS3","4.03","5.83"
"CYBRD1","PIAS4",NA,NA
"CYC1","NSMCE2",NA,NA
"CYC1","PIAS1",NA,NA
"CYC1","PIAS2","1.17","3.43"
"CYC1","PIAS3",NA,NA
"CYC1","PIAS4",NA,NA
"DARS","NSMCE2",NA,NA
"DARS","PIAS1",NA,NA
"DARS","PIAS2","3","2.14"
"DARS","PIAS3",NA,NA
"DARS","PIAS4",NA,NA
"DAXX","NSMCE2","5.44","9.55"
"DAXX","PIAS1",NA,NA
"DAXX","PIAS2",NA,NA
"DAXX","PIAS3",NA,NA
"DAXX","PIAS4",NA,NA
"DDX10","NSMCE2","3.78","9.61"
"DDX10","PIAS1",NA,NA
"DDX10","PIAS2",NA,NA
"DDX10","PIAS3",NA,NA
"DDX10","PIAS4",NA,NA
"DDX17","NSMCE2","2.56","2.4"
"DDX17","PIAS1",NA,NA
"DDX17","PIAS2",NA,NA
"DDX17","PIAS3",NA,NA
"DDX17","PIAS4",NA,NA
"DDX18","NSMCE2","3.69","4.43"
"DDX18","PIAS1",NA,NA
"DDX18","PIAS2",NA,NA
"DDX18","PIAS3",NA,NA
"DDX18","PIAS4",NA,NA
"DDX21","NSMCE2","5.8","4.46"
"DDX21","PIAS1",NA,NA
"DDX21","PIAS2",NA,NA
"DDX21","PIAS3",NA,NA
"DDX21","PIAS4",NA,NA
"DDX52","NSMCE2","4.23","9.39"
"DDX52","PIAS1",NA,NA
"DDX52","PIAS2",NA,NA
"DDX52","PIAS3",NA,NA
"DDX52","PIAS4",NA,NA
"DDX56","NSMCE2","2.51","2.74"
"DDX56","PIAS1",NA,NA
"DDX56","PIAS2",NA,NA
"DDX56","PIAS3",NA,NA
"DDX56","PIAS4",NA,NA
"DERL2","NSMCE2",NA,NA
"DERL2","PIAS1",NA,NA
"DERL2","PIAS2","3.04","2.22"
"DERL2","PIAS3",NA,NA
"DERL2","PIAS4",NA,NA
"DHDDS","NSMCE2",NA,NA
"DHDDS","PIAS1",NA,NA
"DHDDS","PIAS2","1.76","2.69"
"DHDDS","PIAS3",NA,NA
"DHDDS","PIAS4",NA,NA
"DKC1","NSMCE2","3.24","2.95"
"DKC1","PIAS1",NA,NA
"DKC1","PIAS2",NA,NA
"DKC1","PIAS3",NA,NA
"DKC1","PIAS4",NA,NA
"DLD","NSMCE2",NA,NA
"DLD","PIAS1",NA,NA
