"GENE_NAME","Sumo","Diff","minLogP","SATT index"
"ADNP","NSMCE2",2.61,1.04,-0.06
"ADNP","PIAS1",NA,NA,NA
"ADNP","PIAS2",NA,NA,NA
"ADNP","PIAS3",NA,NA,NA
"ADNP","PIAS4",2.36,1.2,-0.64
"ADNP2","NSMCE2",NA,NA,NA
"ADNP2","PIAS1",0.74,1.08,0.96
"ADNP2","PIAS2",NA,NA,NA
"ADNP2","PIAS3",NA,NA,NA
"ADNP2","PIAS4",NA,NA,NA
"ARID5B","NSMCE2",0.26,1.13,-0.33
"ARID5B","PIAS1",NA,NA,NA
"ARID5B","PIAS2",NA,NA,NA
"ARID5B","PIAS3",NA,NA,NA
"ARID5B","PIAS4",1.2,1.17,0
"ATF6","NSMCE2",1.76,2.66,-0.06
"ATF6","PIAS1",NA,NA,NA
"ATF6","PIAS2",NA,NA,NA
"ATF6","PIAS3",NA,NA,NA
"ATF6","PIAS4",3.1,2.09,-0.01
"ATF6B","NSMCE2",1.85,0.86,0.56
"ATF6B","PIAS1",NA,NA,NA
"ATF6B","PIAS2",NA,NA,NA
"ATF6B","PIAS3",NA,NA,NA
"ATF6B","PIAS4",NA,NA,NA
"BCL11B","NSMCE2",4.46,5.03,0.07
"BCL11B","PIAS1",4.13,4.04,0.42
"BCL11B","PIAS2",NA,NA,NA
"BCL11B","PIAS3",NA,NA,NA
"BCL11B","PIAS4",NA,NA,NA
"BCLAF1","NSMCE2",1.87,1.96,1.16
"BCLAF1","PIAS1",NA,NA,NA
"BCLAF1","PIAS2",NA,NA,NA
"BCLAF1","PIAS3",NA,NA,NA
"BCLAF1","PIAS4",NA,NA,NA
"BHLHE40","NSMCE2",2.53,3.89,0.09
"BHLHE40","PIAS1",NA,NA,NA
"BHLHE40","PIAS2",NA,NA,NA
"BHLHE40","PIAS3",NA,NA,NA
"BHLHE40","PIAS4",2.54,1.25,-0.15
"BHLHE41","NSMCE2",6.42,5.18,0.05
"BHLHE41","PIAS1",NA,NA,NA
"BHLHE41","PIAS2",NA,NA,NA
"BHLHE41","PIAS3",NA,NA,NA
"BHLHE41","PIAS4",NA,NA,NA
"BNC2","NSMCE2",4.41,4.37,-0.18
"BNC2","PIAS1",4.32,3.38,0.66
"BNC2","PIAS2",NA,NA,NA
"BNC2","PIAS3",NA,NA,NA
"BNC2","PIAS4",4.91,5.61,0.26
"BRIX1","NSMCE2",2.9,1.77,0.35
"BRIX1","PIAS1",NA,NA,NA
"BRIX1","PIAS2",NA,NA,NA
"BRIX1","PIAS3",NA,NA,NA
"BRIX1","PIAS4",NA,NA,NA
"CASP8AP2","NSMCE2",8.08,6.75,0.19
"CASP8AP2","PIAS1",NA,NA,NA
"CASP8AP2","PIAS2",NA,NA,NA
"CASP8AP2","PIAS3",NA,NA,NA
"CASP8AP2","PIAS4",4.4,3.77,0.29
"CCAR2","NSMCE2",0.34,1.29,0.75
"CCAR2","PIAS1",NA,NA,NA
"CCAR2","PIAS2",NA,NA,NA
"CCAR2","PIAS3",NA,NA,NA
"CCAR2","PIAS4",NA,NA,NA
"CDC2;CDK1","NSMCE2",3.12,1.81,-0.28
"CDC2;CDK1","PIAS1",3.4,1.89,-0.03
"CDC2;CDK1","PIAS2",NA,NA,NA
"CDC2;CDK1","PIAS3",NA,NA,NA
"CDC2;CDK1","PIAS4",3.95,2.44,0.15
"CDC5L","NSMCE2",2.05,1.56,0.6
"CDC5L","PIAS1",NA,NA,NA
"CDC5L","PIAS2",NA,NA,NA
"CDC5L","PIAS3",NA,NA,NA
"CDC5L","PIAS4",NA,NA,NA
"CDK11A","NSMCE2",6.4,4.69,-0.04
"CDK11A","PIAS1",3.24,3.21,0.24
"CDK11A","PIAS2",NA,NA,NA
"CDK11A","PIAS3",NA,NA,NA
"CDK11A","PIAS4",4.27,2.68,0.09
"CENPC","NSMCE2",5.02,4.87,0.06
"CENPC","PIAS1",NA,NA,NA
"CENPC","PIAS2",NA,NA,NA
"CENPC","PIAS3",NA,NA,NA
"CENPC","PIAS4",NA,NA,NA
"CHAMP1","NSMCE2",NA,NA,NA
"CHAMP1","PIAS1",NA,NA,NA
"CHAMP1","PIAS2",NA,NA,NA
"CHAMP1","PIAS3",NA,NA,NA
"CHAMP1","PIAS4",NA,NA,NA
"CHD4","NSMCE2",0.58,2.98,-0.02
"CHD4","PIAS1",0.96,1.51,0.32
"CHD4","PIAS2",NA,NA,NA
"CHD4","PIAS3",NA,NA,NA
"CHD4","PIAS4",NA,NA,NA
"COIL","NSMCE2",4.86,4.27,0.9
"COIL","PIAS1",NA,NA,NA
"COIL","PIAS2",NA,NA,NA
"COIL","PIAS3",NA,NA,NA
"COIL","PIAS4",NA,NA,NA
