GENE,NSMCE2,NSMCE2,NSMCE2,PIAS1,PIAS1,PIAS1,PIAS2,PIAS2,PIAS2,PIAS3,PIAS3,PIAS3,PIAS4,PIAS4,PIAS4,ZMIZ2,ZMIZ2,ZMIZ2,ZATT,ZATT,ZATT,Z3,Z3,Z3
ANKRD32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010163734,1.68,2.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ANP32E,0.127645648,5.71,5.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.781060748,1.82,2.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ANXA1,NaN,NaN,NaN,1.269277566,1.76,1.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ANXA5,0.176620486,3.01,3.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.338161215,2.02,2.73
AP1B1,NaN,NaN,NaN,NaN,NaN,NaN,0.721631308,1.59,2.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.04350318,3.49,2.62,NaN,NaN,NaN
AP2M1,NaN,NaN,NaN,NaN,NaN,NaN,0.304895721,1.63,0.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
API5,NaN,NaN,NaN,NaN,NaN,NaN,0.065960604,1.6,3.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
APOBEC3B,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.126431462,3.09,0.89
APTX,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.198258106,1.91,0.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARID1A,NaN,NaN,NaN,NaN,NaN,NaN,0.602635786,2.53,0.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARID1B,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.22121309,2.84,1.11
ARID2,NaN,NaN,NaN,NaN,NaN,NaN,1.210314797,2.23,0.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARID3A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.883034822,6.62,7.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARID5A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.751350676,4.76,3.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARID5B,0.173615609,3.41,0.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.183634247,6.19,2.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
