GENE,NSMCE2,NSMCE2,NSMCE2,PIAS1,PIAS1,PIAS1,PIAS2,PIAS2,PIAS2,PIAS3,PIAS3,PIAS3,PIAS4,PIAS4,PIAS4,ZMIZ2,ZMIZ2,ZMIZ2,ZATT,ZATT,ZATT,Z3,Z3,Z3
CCT5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.388151486,2.87,3.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CCT6A,NaN,NaN,NaN,NaN,NaN,NaN,-0.139798051,1.9,2.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CCZ1B,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.203837623,1.52,2.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CCZ1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.203837623,1.52,2.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CD276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.285640661,2.91,1.86
CD47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.91688004,2.73,1.39
CD58,NaN,NaN,NaN,NaN,NaN,NaN,0.606927266,2.26,2.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CD9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.740275989,3.14,1.47
CDC42,NaN,NaN,NaN,NaN,NaN,NaN,0.646815077,1.63,0.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CDC7,-0.000899797,3.48,4.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.336378476,5.92,6.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CDCA7L,-0.209069328,5.37,4.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CDH2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.735378037,2.58,0.57
CDK1,0.166802395,2.76,5.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.357273083,3.68,3.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CDK11B,-0.005748184,5.47,8.34,NaN,NaN,NaN,NaN,NaN,NaN,0.308032976,2.68,3.08,0.387858367,5.37,6.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CDK12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.256358141,1.35,0.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CDK9,-0.176184555,5.58,4.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CDS2,NaN,NaN,NaN,NaN,NaN,NaN,1.107930199,3.03,1.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CEBPB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.003099792,5.14,5.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CEBPZ,NaN,NaN,NaN,NaN,NaN,NaN,0.693019485,2.27,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CENPI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.518028623,2.17,0.73
CENPP,NaN,NaN,NaN,NaN,NaN,NaN,0.297779242,4.52,3.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CFL1,-0.446129842,3.47,3.01,0.436567189,1.51,4.03,NaN,NaN,NaN,NaN,NaN,NaN,0.170800159,4.61,3.78,NaN,NaN,NaN,NaN,NaN,NaN,1.000181493,1.77,3
CFL2,-0.446129842,3.47,3.01,0.436567189,1.51,4.03,NaN,NaN,NaN,NaN,NaN,NaN,0.170800159,4.61,3.78,NaN,NaN,NaN,NaN,NaN,NaN,1.000181493,1.77,3
CHAMP1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.027457665,1.3,2.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CHD1L,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.937322849,4.13,3.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CHD2,NaN,NaN,NaN,NaN,NaN,NaN,0.830074673,1.99,0.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CHD4,-0.69142872,3.05,1.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.333087897,4,2.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CHD7,NaN,NaN,NaN,NaN,NaN,NaN,0.225936514,5.36,4.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CISD2,0.211094891,1.42,0.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.785542449,4.24,0.62
CLASP1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.171975015,3.09,0.62
CLK1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.56837842,1.53,0.66,NaN,NaN,NaN,NaN,NaN,NaN,0.224337273,2.49,0.69
CLK3,1.054592947,2.21,0.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CLK4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.444670857,1.62,1.66,NaN,NaN,NaN,NaN,NaN,NaN
CLN6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.404763677,1.82,0.41,NaN,NaN,NaN
CLPTM1,NaN,NaN,NaN,NaN,NaN,NaN,1.419384864,1.55,0.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CMTM6,NaN,NaN,NaN,NaN,NaN,NaN,-0.510304307,1.37,2.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CNNM3,NaN,NaN,NaN,NaN,NaN,NaN,0.077587015,1.56,2.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CNOT1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.269208802,2.16,0.74
CNP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.09256404,1.67,2.75
COIL,NaN,NaN,NaN,NaN,NaN,NaN,0.56833117,1.37,2.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
COPS3,NaN,NaN,NaN,NaN,NaN,NaN,0.544336471,1.66,3.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
COX18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.160492509,1.85,0.44
COX20,NaN,NaN,NaN,NaN,NaN,NaN,0.255675352,1.75,3.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
COX4I1,NaN,NaN,NaN,NaN,NaN,NaN,0.406413707,1.73,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CPSF1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.061635001,4.24,3.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CREB3L1,0.400970178,7.07,5.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.590898204,5.17,5.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CREB3L2,0.983886098,4.25,4.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.460897771,5.58,4.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CREB5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.026379564,1.35,0.5
CRNKL1,NaN,NaN,NaN,NaN,NaN,NaN,0.191736889,3.18,3.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CSNK2A2,NaN,NaN,NaN,1.262431959,1.35,2.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CTCF,NaN,NaN,NaN,NaN,NaN,NaN,-0.003195923,1.43,2.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CTNNA1,NaN,NaN,NaN,NaN,NaN,NaN,0.184476849,1.78,0.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.189066435,2,1.19
CTNNB1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.080701918,1.85,0.28
CUL3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.017540761,2.18,1.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CWC22,NaN,NaN,NaN,NaN,NaN,NaN,0.175464591,1.33,2.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CXADR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.219616289,1.87,0.63
CXorf67,1.000162401,6.67,3.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.179057864,4.99,5.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CYB5B,NaN,NaN,NaN,NaN,NaN,NaN,0.216525043,2.07,0.82,NaN,NaN,NaN,0.975115157,1.57,0.85,NaN,NaN,NaN,NaN,NaN,NaN,2.137737222,1.52,0.34
CYBRD1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.934363137,1.73,2.28
CYC1,NaN,NaN,NaN,NaN,NaN,NaN,0.655736097,4.62,0.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CYP51A1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.812367411,1.9,0.69
DAG1,NaN,NaN,NaN,NaN,NaN,NaN,1.09200979,1.32,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.205472455,2.42,0.5
DAXX,0.054026765,6.27,5.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.511555184,6.97,4.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DCAF13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.196348584,2.21,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DCBLD2,5.208709424,2.94,0.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DCD,NaN,NaN,NaN,NaN,NaN,NaN,0.502267189,1.63,0.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DCLRE1A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.927847072,3.38,2.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DCTN4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.026959158,1.69,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DDB1,NaN,NaN,NaN,NaN,NaN,NaN,0.230400135,1.35,0.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DDB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.532132521,1.37,0.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DDOST,NaN,NaN,NaN,NaN,NaN,NaN,0.013497418,1.39,0.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DDRGK1,NaN,NaN,NaN,NaN,NaN,NaN,0.533513681,1.76,0.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DDX11,0.244327265,5.35,4.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.322003427,5.1,5.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DDX11L8,0.244327265,5.35,4.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.322003427,5.1,5.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DDX12P,0.244327265,5.35,4.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.322003427,5.1,5.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DDX21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.022524208,1.44,1.17
DDX3X,NaN,NaN,NaN,0.728718441,2.62,2.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DDX3Y,NaN,NaN,NaN,0.728718441,2.62,2.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DDX43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.011668916,4.01,3.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DDX47,1.046768445,5.16,3.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.403172602,4.44,5.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DDX5,-0.403993535,5.48,4.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.451973948,3.47,5.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DDX52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.546534395,3.68,5.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DDX54,NaN,NaN,NaN,0.930634079,3.6,3.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DDX56,NaN,NaN,NaN,NaN,NaN,NaN,-0.025352246,1.46,2.13,0.61712759,2.1,1.9,0.316271591,3.7,3.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DEGS1,NaN,NaN,NaN,0.717403443,5,3.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DERL1,NaN,NaN,NaN,-0.015732935,1.47,5.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DGKE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.040674395,1.45,0.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DHCR7,8.210040443,1.71,0.14,0.514013328,1.82,4.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DHFR,1.160804474,1.53,2.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.741341905,5.89,5.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DHRS2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.079020122,2.55,0.67
DHX38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.152056624,5.31,4.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DHX9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.121603657,2.56,0.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DKC1,-0.422994962,2.51,3.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.13810547,3.49,5.12,NaN,NaN,NaN,NaN,NaN,NaN,0.372338291,1.39,2.94
DLGAP5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.682450343,5.09,3.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DNAJA1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.695448273,1.34,2.83
DNAJC1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.053780073,3.11,0.64
DNAJC25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.137181203,2.49,0.68
DNAJC7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.435061656,3.87,3.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DNAJC8,-0.007017901,4.54,4.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.253844438,6.35,5.58,NaN,NaN,NaN,NaN,NaN,NaN,-0.005933008,5.09,4.91
DNMT1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.529937813,5.17,3.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DNTTIP2,-0.097191482,4.63,3.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.833829368,2.06,3.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DPAGT1,0.644680687,1.42,2.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DROSHA,NaN,NaN,NaN,NaN,NaN,NaN,1.441569883,1.32,0.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DSG1,NaN,NaN,NaN,0.435506228,1.39,1.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DSG2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.256404927,1.81,0.38
DSN1,-0.025964226,5.22,5.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.628576412,5.45,4.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DSP,NaN,NaN,NaN,0.157507054,1.39,1.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DST,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.08324622,1.36,1.17
DTL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.354974985,7.06,4.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DTX3L,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.556995869,5.86,6.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E4F1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.187293609,5.81,4.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EBP,NaN,NaN,NaN,NaN,NaN,NaN,0.387789081,1.64,3.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ECT2,0.066737478,4.9,3.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.467403042,4.58,3.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EFR3A,NaN,NaN,NaN,NaN,NaN,NaN,1.334479492,1.31,1.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.029975273,1.85,2.83
EHMT1,NaN,NaN,NaN,0.925913571,3.43,3.37,NaN,NaN,NaN,NaN,NaN,NaN,0.952329421,4.91,3.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EI24,NaN,NaN,NaN,NaN,NaN,NaN,1.328454278,1.39,2.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EIF2S1,NaN,NaN,NaN,0.93824279,1.4,2.91,NaN,NaN,NaN,NaN,NaN,NaN,0.498442198,4.87,5.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EIF3A,NaN,NaN,NaN,NaN,NaN,NaN,-0.266126498,1.7,0.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.143115338,1.31,1.21,NaN,NaN,NaN
EIF3B,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.479135327,1.79,1.41
EIF3C,NaN,NaN,NaN,NaN,NaN,NaN,0.648777406,1.87,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EIF3I,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.264715851,4.68,4.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EIF3K,NaN,NaN,NaN,NaN,NaN,NaN,0.620637719,1.61,2.52,NaN,NaN,NaN,0.294651814,4.1,4.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EIF4A1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.322671541,1.97,3.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EIF4G2,NaN,NaN,NaN,NaN,NaN,NaN,0.73136186,1.92,1.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ELF2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.182560739,5.63,4.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ELF4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.708537739,4.51,3.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ELMSAN1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.987661972,3.07,4.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EMC8,NaN,NaN,NaN,1.275630757,2.26,3.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EME1,0.191115039,6.41,4.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.037916371,5.74,6.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EMSY,-0.2220891,2.88,3.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.068217395,6.87,4.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ENDOD1,NaN,NaN,NaN,0.558379872,1.41,2.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ENO1,-1.516894437,1.41,1.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.374418949,2.69,3.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
