"GENE_NAME","Sumo","Diff","minLogP","SATT index"
"ARID2","PIAS2",0.55,2.24,1.22
"ARID2","PIAS3",NA,NA,NA
"ARID2","PIAS4",NA,NA,NA
"ARID2","ZMIZ2",NA,NA,NA
"ARID2","ZNF451",NA,NA,NA
"ARID3A","LAZSUL",NA,NA,NA
"ARID3A","NSMCE2",NA,NA,NA
"ARID3A","PIAS1",NA,NA,NA
"ARID3A","PIAS2",NA,NA,NA
"ARID3A","PIAS3",NA,NA,NA
"ARID3A","PIAS4",8.02,7.07,0.79
"ARID3A","ZMIZ2",NA,NA,NA
"ARID3A","ZNF451",NA,NA,NA
"ARID5A","LAZSUL",NA,NA,NA
"ARID5A","NSMCE2",NA,NA,NA
"ARID5A","PIAS1",NA,NA,NA
"ARID5A","PIAS2",NA,NA,NA
"ARID5A","PIAS3",NA,NA,NA
"ARID5A","PIAS4",4.63,4.21,0.73
"ARID5A","ZMIZ2",NA,NA,NA
"ARID5A","ZNF451",NA,NA,NA
"ARID5B","LAZSUL",NA,NA,NA
"ARID5B","NSMCE2",0.93,3.47,0.2
"ARID5B","PIAS1",NA,NA,NA
"ARID5B","PIAS2",NA,NA,NA
"ARID5B","PIAS3",NA,NA,NA
"ARID5B","PIAS4",2.78,6.17,0.19
"ARID5B","ZMIZ2",NA,NA,NA
"ARID5B","ZNF451",NA,NA,NA
"ARMCX1","LAZSUL",NA,NA,NA
"ARMCX1","NSMCE2",NA,NA,NA
"ARMCX1","PIAS1",NA,NA,NA
"ARMCX1","PIAS2",NA,NA,NA
"ARMCX1","PIAS3",NA,NA,NA
"ARMCX1","PIAS4",3.93,2.02,0.33
"ARMCX1","ZMIZ2",NA,NA,NA
"ARMCX1","ZNF451",NA,NA,NA
"ASUN","LAZSUL",NA,NA,NA
"ASUN","NSMCE2",NA,NA,NA
"ASUN","PIAS1",NA,NA,NA
"ASUN","PIAS2",NA,NA,NA
"ASUN","PIAS3",NA,NA,NA
"ASUN","PIAS4",3.67,2.87,0.21
"ASUN","ZMIZ2",NA,NA,NA
"ASUN","ZNF451",NA,NA,NA
"ATAD2","LAZSUL",NA,NA,NA
"ATAD2","NSMCE2",4.5,6.12,-0.47
"ATAD2","PIAS1",NA,NA,NA
"ATAD2","PIAS2",NA,NA,NA
"ATAD2","PIAS3",NA,NA,NA
"ATAD2","PIAS4",5.9,5.23,0.36
"ATAD2","ZMIZ2",NA,NA,NA
"ATAD2","ZNF451",NA,NA,NA
"ATAD5","LAZSUL",NA,NA,NA
"ATAD5","NSMCE2",3.04,2.63,-0.49
"ATAD5","PIAS1",NA,NA,NA
"ATAD5","PIAS2",NA,NA,NA
"ATAD5","PIAS3",NA,NA,NA
"ATAD5","PIAS4",5.04,6.78,0.96
"ATAD5","ZMIZ2",NA,NA,NA
"ATAD5","ZNF451",NA,NA,NA
"ATF4","LAZSUL",NA,NA,NA
"ATF4","NSMCE2",6.23,5.66,0.04
"ATF4","PIAS1",NA,NA,NA
"ATF4","PIAS2",NA,NA,NA
"ATF4","PIAS3",NA,NA,NA
"ATF4","PIAS4",8.07,5.37,0.2
"ATF4","ZMIZ2",NA,NA,NA
"ATF4","ZNF451",NA,NA,NA
"ATF6","LAZSUL",NA,NA,NA
"ATF6","NSMCE2",5.07,4.55,-0.11
"ATF6","PIAS1",NA,NA,NA
"ATF6","PIAS2",NA,NA,NA
"ATF6","PIAS3",NA,NA,NA
"ATF6","PIAS4",5.32,3,0.22
"ATF6","ZMIZ2",NA,NA,NA
"ATF6","ZNF451",2.89,2.22,0.64
"ATF6B","LAZSUL",NA,NA,NA
"ATF6B","NSMCE2",5.86,5.35,0.52
"ATF6B","PIAS1",NA,NA,NA
"ATF6B","PIAS2",NA,NA,NA
"ATF6B","PIAS3",NA,NA,NA
"ATF6B","PIAS4",5.62,4.6,0.12
"ATF6B","ZMIZ2",NA,NA,NA
"ATF6B","ZNF451",NA,NA,NA
"ATRX","LAZSUL",NA,NA,NA
"ATRX","NSMCE2",NA,NA,NA
"ATRX","PIAS1",NA,NA,NA
"ATRX","PIAS2",NA,NA,NA
"ATRX","PIAS3",NA,NA,NA
"ATRX","PIAS4",4.12,3.36,0.84
"ATRX","ZMIZ2",NA,NA,NA
"ATRX","ZNF451",NA,NA,NA
"BARD1","LAZSUL",NA,NA,NA
"BARD1","NSMCE2",4.51,5.52,-0.13
"BARD1","PIAS1",NA,NA,NA
"BARD1","PIAS2",NA,NA,NA
"BARD1","PIAS3",NA,NA,NA
"BARD1","PIAS4",3.52,3.68,0.99
"BARD1","ZMIZ2",NA,NA,NA
"BARD1","ZNF451",NA,NA,NA
"BAZ1B","LAZSUL",NA,NA,NA
"BAZ1B","NSMCE2",NA,NA,NA
"BAZ1B","PIAS1",NA,NA,NA
"BAZ1B","PIAS2",NA,NA,NA
"BAZ1B","PIAS3",NA,NA,NA
"BAZ1B","PIAS4",0.49,1.31,-0.18
"BAZ1B","ZMIZ2",NA,NA,NA
"BAZ1B","ZNF451",NA,NA,NA
"BBX","LAZSUL",NA,NA,NA
"BBX","NSMCE2",2.62,1.45,-0.61
"BBX","PIAS1",NA,NA,NA
"BBX","PIAS2",NA,NA,NA
"BBX","PIAS3",NA,NA,NA
"BBX","PIAS4",7.79,5.26,0.51
"BBX","ZMIZ2",NA,NA,NA
"BBX","ZNF451",NA,NA,NA
"BCL11A","LAZSUL",NA,NA,NA
"BCL11A","NSMCE2",NA,NA,NA
"BCL11A","PIAS1",NA,NA,NA
