GENE,NSMCE2,NSMCE2,NSMCE2,PIAS1,PIAS1,PIAS1,PIAS2,PIAS2,PIAS2,PIAS3,PIAS3,PIAS3,PIAS4,PIAS4,PIAS4
NAME,SATT index,minLogP,Diff,SATT index,minLogP,Diff,SATT index,minLogP,Diff,SATT index,minLogP,Diff,SATT index,minLogP,Diff
HLA-A,NaN,NaN,NaN,1.228827802,1.5,0.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HMBOX1,0.438594776,5.4,5.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HMCES,-0.653665747,1.31,2.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.182192563,1.51,3.37
HMG20B,0.004760146,5.25,6.53,0.13108505,5.78,5.5,NaN,NaN,NaN,NaN,NaN,NaN,0.031622834,5.17,6.3
HMOX1,NaN,NaN,NaN,NaN,NaN,NaN,0.194704262,1.52,0.55,NaN,NaN,NaN,NaN,NaN,NaN
HMOX2,NaN,NaN,NaN,NaN,NaN,NaN,0.32869329,1.49,0.28,NaN,NaN,NaN,NaN,NaN,NaN
HNRNPA0,0.429160217,3.43,3.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HNRNPC,0.790894672,3.64,3.65,NaN,NaN,NaN,0.178012115,1.35,2.18,NaN,NaN,NaN,NaN,NaN,NaN
HNRNPK,NaN,NaN,NaN,NaN,NaN,NaN,0.317747115,1.48,0.59,NaN,NaN,NaN,NaN,NaN,NaN
HNRNPM,0.303095126,3.41,2.41,NaN,NaN,NaN,0.335271812,1.74,0.45,NaN,NaN,NaN,-0.049617751,2.94,4.77
HSD17B12,NaN,NaN,NaN,NaN,NaN,NaN,0.159326504,1.47,0.34,NaN,NaN,NaN,NaN,NaN,NaN
HSF1,0.342827305,4.94,6.66,0.084520207,1.62,3.69,NaN,NaN,NaN,NaN,NaN,NaN,0.111728877,4.75,5.25
HSF2,0.295168811,5.06,5.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.392539586,3.84,4.28
HSPA1A,0.245269806,2.98,1.73,1.00206622,1.54,0.82,NaN,NaN,NaN,0.140523279,1.68,2.09,-0.3115503,1.34,1.3
HSPA1B,0.245269806,2.98,1.73,1.00206622,1.54,0.82,NaN,NaN,NaN,0.140523279,1.68,2.09,-0.3115503,1.34,1.3
HSPA6,0.94437614,1.35,2.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSPA8,0.398038551,3,1.94,-0.462347963,1.43,1.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSPA9,NaN,NaN,NaN,NaN,NaN,NaN,1.095079559,1.48,0.17,NaN,NaN,NaN,NaN,NaN,NaN
HSPB1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.061565203,2.45,3.46
IARS2,NaN,NaN,NaN,NaN,NaN,NaN,-0.620192395,2.82,0.32,NaN,NaN,NaN,NaN,NaN,NaN
IFI16,0.102044793,5.16,5.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.620996038,7.2,5.09
ILF2,NaN,NaN,NaN,NaN,NaN,NaN,0.501406504,2.66,0.53,NaN,NaN,NaN,NaN,NaN,NaN
IMPAD1,NaN,NaN,NaN,NaN,NaN,NaN,0.526177326,2.73,0.64,NaN,NaN,NaN,NaN,NaN,NaN
INTS12,0.523293023,4.31,4.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
INTS4,NaN,NaN,NaN,0.125269169,1.47,2.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
INTS7,NaN,NaN,NaN,NaN,NaN,NaN,0.730231707,1.68,2.54,NaN,NaN,NaN,NaN,NaN,NaN
IPO7,NaN,NaN,NaN,NaN,NaN,NaN,0.360846278,1.41,0.26,NaN,NaN,NaN,NaN,NaN,NaN
IQGAP1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.155065984,1.65,2.19,NaN,NaN,NaN
JMJD1C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.443913477,1.86,0.63,NaN,NaN,NaN
KAT7,1.33483714,3.59,1.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KCTD1,0.196527293,6.18,5.14,0.663596844,5.53,4.01,NaN,NaN,NaN,NaN,NaN,NaN,0.056611754,3.49,4.02
KCTD15,0.319220834,4.14,4.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KDM4A,0.059467227,4.76,2.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KDM5B,0.076234519,5.17,3.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.136177829,1.63,2.76
KIAA1551,0.254665833,3.99,5.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KIF18A,0.28106023,4.91,3.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KIF23,-0.085426087,6.77,3.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KLF5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.341819772,4.47,4.7
KMT2E,NaN,NaN,NaN,NaN,NaN,NaN,1.338561596,1.46,0.54,NaN,NaN,NaN,NaN,NaN,NaN
KPNA2,NaN,NaN,NaN,NaN,NaN,NaN,0.30395078,3.64,0.83,NaN,NaN,NaN,NaN,NaN,NaN
KPNB1,NaN,NaN,NaN,NaN,NaN,NaN,0.243094045,1.61,0.22,NaN,NaN,NaN,NaN,NaN,NaN
KRTCAP2,NaN,NaN,NaN,NaN,NaN,NaN,1.119759384,1.38,2.02,NaN,NaN,NaN,NaN,NaN,NaN
L3MBTL2,0.159426827,6.6,4.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.074307566,4.59,4.56
LAS1L,1.057269198,3.8,3.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LDLR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.839543817,1.33,0.49,NaN,NaN,NaN
LIN37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.44510547,1.45,1.5
LIN54,-0.797918767,1.97,1.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LMNB1,1.042907101,2.52,1.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LNP,NaN,NaN,NaN,NaN,NaN,NaN,0.171427499,1.68,0.43,NaN,NaN,NaN,NaN,NaN,NaN
LRRC42,-0.115941044,5.85,4.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.238973694,4.02,4.85
LSS,NaN,NaN,NaN,NaN,NaN,NaN,0.025817016,1.66,0.39,NaN,NaN,NaN,NaN,NaN,NaN
MAFG,-0.322453424,1.33,2.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MAGEA4,NaN,NaN,NaN,NaN,NaN,NaN,0.848865113,1.76,2.3,NaN,NaN,NaN,NaN,NaN,NaN
MAGED1,NaN,NaN,NaN,NaN,NaN,NaN,0.525431636,4.56,3.42,NaN,NaN,NaN,NaN,NaN,NaN
MAGED2,NaN,NaN,NaN,NaN,NaN,NaN,0.446603224,1.76,0.93,NaN,NaN,NaN,NaN,NaN,NaN
MARS,NaN,NaN,NaN,NaN,NaN,NaN,0.331522056,2.29,0.64,NaN,NaN,NaN,NaN,NaN,NaN
MAU2,-0.123440212,1.62,2.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MAZ,NaN,NaN,NaN,NaN,NaN,NaN,-0.032191837,1.31,2.77,NaN,NaN,NaN,NaN,NaN,NaN
MBD1,0.191857134,6.59,4.6,0.768347958,3.97,3.48,-0.134791506,3.09,2.59,NaN,NaN,NaN,0.224477912,4.73,4.39
MCM10,-0.102710172,6,5.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MCU,NaN,NaN,NaN,NaN,NaN,NaN,-0.137116975,2.62,0.74,NaN,NaN,NaN,NaN,NaN,NaN
MDH2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.387325835,1.46,2.43
MED12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.516274142,2.16,0.21,NaN,NaN,NaN
MED6,1.114398475,3.3,2.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MEF2D,1.058485825,4.78,3.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MFN2,NaN,NaN,NaN,NaN,NaN,NaN,0.313981169,1.36,0.31,NaN,NaN,NaN,NaN,NaN,NaN
MGA,0.216243587,6.86,6.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.150422111,4.24,5.05
MGAT2,NaN,NaN,NaN,NaN,NaN,NaN,0.323397064,2.02,0.43,NaN,NaN,NaN,NaN,NaN,NaN
MIS18BP1,-0.077777072,5.81,7.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.344413614,5.62,5.37
MKI67,-0.277878129,1.63,0.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.041027565,1.44,1.9
MORC2,-0.034981752,1.71,3.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MORC3,0.05453194,7.24,8.27,0.09549096,5.49,5.58,-0.03123471,4.2,4.63,NaN,NaN,NaN,0.066228123,7.72,7.48
MPHOSPH10,1.092767958,6.06,5.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MRPS27,NaN,NaN,NaN,NaN,NaN,NaN,0.191894777,1.68,0.78,NaN,NaN,NaN,NaN,NaN,NaN
MSANTD4,0.152363109,6.48,8.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.095516765,4.71,6.4
MSH6,0.251570774,3.78,4.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MSMO1,NaN,NaN,NaN,-0.00196833,1.57,2.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MTUS1,0.163840903,6.04,4.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MTX1,NaN,NaN,NaN,NaN,NaN,NaN,0.355560177,2.35,0.51,NaN,NaN,NaN,NaN,NaN,NaN
MYBL2,-0.431426085,1.71,3.68,0.656784014,1.83,3,NaN,NaN,NaN,NaN,NaN,NaN,0.224311852,3.84,5.62
MYC,-0.104493859,5.77,4.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MYO19,NaN,NaN,NaN,0.518955114,1.84,3.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MYO1B,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.33618025,1.73,0.27,NaN,NaN,NaN
NAB1,0.17023685,5.96,7.43,-0.015190134,1.35,1.34,NaN,NaN,NaN,NaN,NaN,NaN,0.123359876,3.41,3.89
NAB2,0.089590308,6.82,6.54,-0.231290623,3.48,4.02,NaN,NaN,NaN,NaN,NaN,NaN,0.11276647,4.96,5.73
NAP1L3,0.430030045,5.11,4.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NAT10,NaN,NaN,NaN,NaN,NaN,NaN,-0.017025588,2.24,0.36,NaN,NaN,NaN,NaN,NaN,NaN
NAT14,0.608190611,1.46,3.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NCBP1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.025085471,1.39,0.22,NaN,NaN,NaN
NCLN,NaN,NaN,NaN,NaN,NaN,NaN,-0.06931036,1.34,0.25,NaN,NaN,NaN,NaN,NaN,NaN
NDUFC2,NaN,NaN,NaN,NaN,NaN,NaN,0.034243689,2.81,0.87,NaN,NaN,NaN,NaN,NaN,NaN
NELFCD,NaN,NaN,NaN,NaN,NaN,NaN,0.44051563,1.56,0.35,NaN,NaN,NaN,NaN,NaN,NaN
NFIX,1.596400288,1.51,2.65,NaN,NaN,NaN,NaN,NaN,NaN,1.409370708,1.7,0.36,NaN,NaN,NaN
NFRKB,0.30833983,3.67,3.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.804907328,3.68,4.2
NHP2,0.829952137,3.91,4.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NIFK,0.493758313,6.09,7.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NLRX1,NaN,NaN,NaN,NaN,NaN,NaN,1.406690652,1.74,1.62,NaN,NaN,NaN,NaN,NaN,NaN
NOC3L,NaN,NaN,NaN,NaN,NaN,NaN,-0.355321349,2.42,0.43,NaN,NaN,NaN,NaN,NaN,NaN
NOC4L,NaN,NaN,NaN,NaN,NaN,NaN,0.27736328,2.2,0.28,NaN,NaN,NaN,NaN,NaN,NaN
NOL10,1.159144827,3.37,3.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NOLC1,1.40203395,1.81,2.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NOP2,0.832489289,4.29,3.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NOP56,0.185671045,1.5,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NOP58,0.414851971,4.52,7.03,0.759977946,2.19,1.02,NaN,NaN,NaN,NaN,NaN,NaN,0.157157082,2.86,3.6
NOP9,NaN,NaN,NaN,NaN,NaN,NaN,-0.592608811,2.95,0.24,NaN,NaN,NaN,NaN,NaN,NaN
NPAT,0.21835908,6.19,8.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.260946988,5.51,5.71
NPC1,NaN,NaN,NaN,0.92679949,1.56,1.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NPEPPS,NaN,NaN,NaN,NaN,NaN,NaN,0.451440298,2.91,1.06,NaN,NaN,NaN,NaN,NaN,NaN
NPEPPSL1,NaN,NaN,NaN,NaN,NaN,NaN,0.451440298,2.91,1.06,NaN,NaN,NaN,NaN,NaN,NaN
NPM1,1.059143232,2.8,1.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NR3C1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.150616475,1.53,2.44
NRIP1,-0.004282129,4.73,3.24,0.048859942,1.63,1.95,NaN,NaN,NaN,NaN,NaN,NaN,-0.071674992,1.36,2.71
NTM,NaN,NaN,NaN,NaN,NaN,NaN,0.736546227,1.58,1.4,NaN,NaN,NaN,NaN,NaN,NaN
NUP133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.111410703,1.49,2.81
NUP155,NaN,NaN,NaN,NaN,NaN,NaN,0.061138023,2.57,0.36,NaN,NaN,NaN,NaN,NaN,NaN
NUP98,NaN,NaN,NaN,NaN,NaN,NaN,-0.0936161,1.89,0.92,NaN,NaN,NaN,NaN,NaN,NaN
ORC4,1.12344316,1.89,2.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ORC5,NaN,NaN,NaN,NaN,NaN,NaN,1.240464836,1.62,0.6,NaN,NaN,NaN,NaN,NaN,NaN
OSBPL3,1.024915243,1.94,1.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PAPD5,0.567976341,2.96,0.87,NaN,NaN,NaN,-0.057165667,1.76,0.85,NaN,NaN,NaN,1.318876028,1.59,0.68
PARL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.899767543,1.44,0.39,NaN,NaN,NaN
PARP1,0.315515305,3.24,3.05,-0.331204761,1.97,2.5,NaN,NaN,NaN,NaN,NaN,NaN,-0.24382716,1.83,2.1
PDCD11,0.505193937,3.74,2.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PDS5A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.865512117,1.64,0.15,NaN,NaN,NaN
PES1,NaN,NaN,NaN,NaN,NaN,NaN,-0.03532118,3.5,0.5,NaN,NaN,NaN,NaN,NaN,NaN
PGD,NaN,NaN,NaN,NaN,NaN,NaN,1.206796927,1.74,0.89,NaN,NaN,NaN,NaN,NaN,NaN
PGRMC1,NaN,NaN,NaN,NaN,NaN,NaN,0.287310959,1.99,0.34,NaN,NaN,NaN,NaN,NaN,NaN
PHF21A,-0.237285127,4.55,3.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PHF6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.210881448,1.35,0.43,NaN,NaN,NaN
PIAS1,0.025865741,5.69,7.96,NaN,NaN,NaN,-0.146681953,2.68,3.29,NaN,NaN,NaN,-0.250826534,5.35,5.13
PIAS2,0.023391652,5.71,7.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.047986802,4.17,5.5
PIAS3,0.001452119,5.06,6.62,-0.062265226,4.38,5.11,NaN,NaN,NaN,NaN,NaN,NaN,0.061480027,5.53,6.06
PIAS4,-0.069119161,2.01,3.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PIGS,NaN,NaN,NaN,NaN,NaN,NaN,0.373301255,1.54,0.48,NaN,NaN,NaN,NaN,NaN,NaN
PLGRKT,NaN,NaN,NaN,NaN,NaN,NaN,-0.389548711,1.35,0.45,NaN,NaN,NaN,NaN,NaN,NaN
PML,0.069643188,6.36,10.76,0.020846941,5.81,8,-0.062884305,6.63,5.76,NaN,NaN,NaN,0.058423452,5.29,8.11
PMPCA,0.519910629,2.42,3.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PNN,0.574655975,4.65,3.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PNPLA6,NaN,NaN,NaN,NaN,NaN,NaN,0.211253967,2.14,2.13,NaN,NaN,NaN,NaN,NaN,NaN
POLR1B,NaN,NaN,NaN,NaN,NaN,NaN,0.221544661,1.69,1.15,NaN,NaN,NaN,NaN,NaN,NaN
POLR1E,NaN,NaN,NaN,NaN,NaN,NaN,0.090084697,1.33,2.26,NaN,NaN,NaN,0.195766767,2.26,2.16
POLR2A,1.321023195,1.31,1.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
POLR3D,-0.00932962,5.01,5.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03611634,4.29,4.78
PPP2R4,NaN,NaN,NaN,NaN,NaN,NaN,0.331118013,1.91,1.53,NaN,NaN,NaN,NaN,NaN,NaN
PPP2R5C,NaN,NaN,NaN,NaN,NaN,NaN,0.061051617,1.35,2.72,NaN,NaN,NaN,NaN,NaN,NaN
PPP2R5D,NaN,NaN,NaN,NaN,NaN,NaN,0.435881669,1.4,0.49,NaN,NaN,NaN,NaN,NaN,NaN
PPP3CA,NaN,NaN,NaN,NaN,NaN,NaN,0.163016489,1.4,2.83,NaN,NaN,NaN,NaN,NaN,NaN
PRCP,NaN,NaN,NaN,NaN,NaN,NaN,-0.051974117,2.03,0.8,NaN,NaN,NaN,NaN,NaN,NaN
PRDX1,0.305300748,1.78,0.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PRICKLE3,NaN,NaN,NaN,NaN,NaN,NaN,1.514807187,1.51,0.18,NaN,NaN,NaN,NaN,NaN,NaN
PRKACA,NaN,NaN,NaN,NaN,NaN,NaN,0.264705319,3.85,0.42,NaN,NaN,NaN,NaN,NaN,NaN
PRKDC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.926291852,1.42,0.14,NaN,NaN,NaN
PRPF38B,NaN,NaN,NaN,NaN,NaN,NaN,-0.990635734,2.07,0.33,NaN,NaN,NaN,NaN,NaN,NaN
PSMD1,NaN,NaN,NaN,NaN,NaN,NaN,0.387935887,2.81,0.67,NaN,NaN,NaN,NaN,NaN,NaN
PSMD13,-0.222861683,1.33,2.4,NaN,NaN,NaN,0.677433351,1.71,0.45,NaN,NaN,NaN,NaN,NaN,NaN
PSMD3,NaN,NaN,NaN,NaN,NaN,NaN,0.451802316,5.13,1.38,NaN,NaN,NaN,NaN,NaN,NaN
PSMD6,NaN,NaN,NaN,NaN,NaN,NaN,0.420532387,3.75,0.83,1.390650053,2.56,0.23,NaN,NaN,NaN
PTCD3,NaN,NaN,NaN,NaN,NaN,NaN,0.068370881,1.61,3.36,NaN,NaN,NaN,NaN,NaN,NaN
PTPRA,NaN,NaN,NaN,NaN,NaN,NaN,0.39860212,1.57,0.37,NaN,NaN,NaN,NaN,NaN,NaN
PTPRG,NaN,NaN,NaN,NaN,NaN,NaN,0.822419898,1.65,2.16,NaN,NaN,NaN,NaN,NaN,NaN
PTRF,0.035961992,3.78,4.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PTRH2,-0.142234257,1.92,0.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PUF60,0.324788032,3.5,4.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PWP2,NaN,NaN,NaN,NaN,NaN,NaN,0.188931798,1.62,0.35,NaN,NaN,NaN,NaN,NaN,NaN
QARS,NaN,NaN,NaN,NaN,NaN,NaN,0.481876125,2.06,0.36,NaN,NaN,NaN,NaN,NaN,NaN
QPCTL,NaN,NaN,NaN,NaN,NaN,NaN,0.128540535,1.36,1.92,NaN,NaN,NaN,NaN,NaN,NaN
RAB13,NaN,NaN,NaN,NaN,NaN,NaN,0.245953855,2.53,0.6,NaN,NaN,NaN,NaN,NaN,NaN
RAB14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.901428901,2.95,0.23,NaN,NaN,NaN
RAB2A,NaN,NaN,NaN,NaN,NaN,NaN,0.000615173,1.37,0.3,NaN,NaN,NaN,NaN,NaN,NaN
RAB32,NaN,NaN,NaN,NaN,NaN,NaN,0.004158346,2.08,1.13,NaN,NaN,NaN,NaN,NaN,NaN
RAB35,NaN,NaN,NaN,NaN,NaN,NaN,-0.258919649,1.46,0.5,NaN,NaN,NaN,NaN,NaN,NaN
RAB6A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.175792907,1.9,0.24,NaN,NaN,NaN
RAB8A,NaN,NaN,NaN,NaN,NaN,NaN,0.020853287,5.21,0.57,NaN,NaN,NaN,NaN,NaN,NaN
RAB8B,NaN,NaN,NaN,NaN,NaN,NaN,0.248968854,1.54,0.46,NaN,NaN,NaN,NaN,NaN,NaN
RAC1,NaN,NaN,NaN,NaN,NaN,NaN,0.363230517,3.01,0.67,NaN,NaN,NaN,NaN,NaN,NaN
RAC2,NaN,NaN,NaN,NaN,NaN,NaN,0.363230517,3.01,0.67,NaN,NaN,NaN,NaN,NaN,NaN
RAD18,0.11169842,6.28,8.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.271835706,2.61,3.85
RAD54L2,0.15864884,5.59,5.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RANGAP1,0.139038881,3.84,10.31,-0.162387955,6.2,6.12,-0.233728501,4.75,5.56,-0.193076155,3.69,5.33,0.01876865,6.24,11.02
RBBP6,1.551932254,1.65,2.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RBBP8,0.055279224,4.58,3.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RBM25,0.891058553,5.19,7.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RBM28,0.879743381,4.98,3.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
REEP3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.933070449,1.93,0.32,NaN,NaN,NaN
REEP5,NaN,NaN,NaN,NaN,NaN,NaN,-0.285353817,1.49,0.33,NaN,NaN,NaN,NaN,NaN,NaN
RFC2,NaN,NaN,NaN,NaN,NaN,NaN,0.529801798,5.17,3.12,NaN,NaN,NaN,NaN,NaN,NaN
RHBDD1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.396627143,1.62,2.23,NaN,NaN,NaN
RHOT2,NaN,NaN,NaN,NaN,NaN,NaN,0.029870197,2.98,0.7,NaN,NaN,NaN,NaN,NaN,NaN
RNF168,0.621671501,4.07,3.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RNF216,0.038872449,7.33,8.73,-0.019129327,4.43,4.09,NaN,NaN,NaN,NaN,NaN,NaN,0.150017824,6.11,6.27
RNF219,0.334682091,3.5,3.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RPL10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.193724264,3.71,4.03
RPL10A,NaN,NaN,NaN,NaN,NaN,NaN,0.147349042,3.86,0.69,NaN,NaN,NaN,NaN,NaN,NaN
RPL13,1.437515403,2.08,0.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RPL14,0.375193173,2.02,2.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RPL27A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.610073004,1.44,0.39,NaN,NaN,NaN
RPL4,1.035499293,1.78,0.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RPL5,0.730356753,2.29,1.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RPL6,1.16931162,1.82,0.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RPL7A,0.485749696,1.74,3.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RPS14,-0.001572759,3.95,3.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.800074988,3.74,3.05
