"GENE_NAME","Sumo","Diff","minLogP"
"AIG1","ZMIZ2","2.79","2.5"
"AIG1","ZNF451",NA,NA
"AK4","LAZSUL",NA,NA
"AK4","NSMCE2",NA,NA
"AK4","PIAS1","3.5","4.5"
"AK4","PIAS2",NA,NA
"AK4","PIAS3",NA,NA
"AK4","PIAS4",NA,NA
"AK4","ZMIZ2",NA,NA
"AK4","ZNF451",NA,NA
"ALCAM","LAZSUL",NA,NA
"ALCAM","NSMCE2",NA,NA
"ALCAM","PIAS1",NA,NA
"ALCAM","PIAS2",NA,NA
"ALCAM","PIAS3",NA,NA
"ALCAM","PIAS4","1.44","5.61"
"ALCAM","ZMIZ2",NA,NA
"ALCAM","ZNF451",NA,NA
"ALDH2","LAZSUL",NA,NA
"ALDH2","NSMCE2",NA,NA
"ALDH2","PIAS1","4.45","13.36"
"ALDH2","PIAS2",NA,NA
"ALDH2","PIAS3",NA,NA
"ALDH2","PIAS4",NA,NA
"ALDH2","ZMIZ2",NA,NA
"ALDH2","ZNF451",NA,NA
"ALDOA","LAZSUL",NA,NA
"ALDOA","NSMCE2",NA,NA
"ALDOA","PIAS1","4.83","3.29"
"ALDOA","PIAS2",NA,NA
"ALDOA","PIAS3",NA,NA
"ALDOA","PIAS4",NA,NA
"ALDOA","ZMIZ2",NA,NA
"ALDOA","ZNF451",NA,NA
"ALG10B;ALG10","LAZSUL",NA,NA
"ALG10B;ALG10","NSMCE2","2.9","3.27"
"ALG10B;ALG10","PIAS1",NA,NA
"ALG10B;ALG10","PIAS2",NA,NA
"ALG10B;ALG10","PIAS3",NA,NA
"ALG10B;ALG10","PIAS4",NA,NA
"ALG10B;ALG10","ZMIZ2","2.09","2.08"
"ALG10B;ALG10","ZNF451",NA,NA
"ALG2","LAZSUL",NA,NA
"ALG2","NSMCE2",NA,NA
"ALG2","PIAS1",NA,NA
"ALG2","PIAS2",NA,NA
"ALG2","PIAS3",NA,NA
"ALG2","PIAS4",NA,NA
"ALG2","ZMIZ2","2.69","2.25"
"ALG2","ZNF451",NA,NA
"ALKBH5","LAZSUL",NA,NA
"ALKBH5","NSMCE2",NA,NA
"ALKBH5","PIAS1",NA,NA
"ALKBH5","PIAS2",NA,NA
"ALKBH5","PIAS3",NA,NA
"ALKBH5","PIAS4","4.07","9.64"
"ALKBH5","ZMIZ2",NA,NA
"ALKBH5","ZNF451",NA,NA
"ALPP;ALPPL2","LAZSUL",NA,NA
"ALPP;ALPPL2","NSMCE2",NA,NA
"ALPP;ALPPL2","PIAS1",NA,NA
"ALPP;ALPPL2","PIAS2",NA,NA
"ALPP;ALPPL2","PIAS3",NA,NA
"ALPP;ALPPL2","PIAS4","4.11","4.57"
"ALPP;ALPPL2","ZMIZ2",NA,NA
"ALPP;ALPPL2","ZNF451",NA,NA
"ANAPC2","LAZSUL",NA,NA
"ANAPC2","NSMCE2",NA,NA
"ANAPC2","PIAS1",NA,NA
"ANAPC2","PIAS2",NA,NA
"ANAPC2","PIAS3",NA,NA
"ANAPC2","PIAS4",NA,NA
"ANAPC2","ZMIZ2","3.1","2.47"
"ANAPC2","ZNF451",NA,NA
"ANKRD1","LAZSUL",NA,NA
"ANKRD1","NSMCE2","3.93","3.54"
"ANKRD1","PIAS1",NA,NA
"ANKRD1","PIAS2",NA,NA
"ANKRD1","PIAS3",NA,NA
"ANKRD1","PIAS4","4.39","4.55"
"ANKRD1","ZMIZ2",NA,NA
"ANKRD1","ZNF451",NA,NA
"ANP32E","LAZSUL",NA,NA
"ANP32E","NSMCE2","5.63","9.05"
"ANP32E","PIAS1",NA,NA
"ANP32E","PIAS2",NA,NA
"ANP32E","PIAS3",NA,NA
"ANP32E","PIAS4",NA,NA
"ANP32E","ZMIZ2",NA,NA
"ANP32E","ZNF451",NA,NA
"ANXA1","LAZSUL",NA,NA
"ANXA1","NSMCE2",NA,NA
"ANXA1","PIAS1","4.06","3.7"
"ANXA1","PIAS2",NA,NA
"ANXA1","PIAS3",NA,NA
"ANXA1","PIAS4",NA,NA
"ANXA1","ZMIZ2",NA,NA
"ANXA1","ZNF451",NA,NA
"ANXA2;ANXA2P2","LAZSUL",NA,NA
"ANXA2;ANXA2P2","NSMCE2",NA,NA
"ANXA2;ANXA2P2","PIAS1","3.22","5.25"
"ANXA2;ANXA2P2","PIAS2",NA,NA
"ANXA2;ANXA2P2","PIAS3",NA,NA
"ANXA2;ANXA2P2","PIAS4",NA,NA
"ANXA2;ANXA2P2","ZMIZ2",NA,NA
"ANXA2;ANXA2P2","ZNF451",NA,NA
"APEX1","LAZSUL",NA,NA
"APEX1","NSMCE2",NA,NA
"APEX1","PIAS1","4.7","5.73"
"APEX1","PIAS2",NA,NA
"APEX1","PIAS3",NA,NA
"APEX1","PIAS4",NA,NA
"APEX1","ZMIZ2",NA,NA
"APEX1","ZNF451",NA,NA
"APOBEC3F","LAZSUL",NA,NA
"APOBEC3F","NSMCE2","2.93","3.1"
"APOBEC3F","PIAS1",NA,NA
"APOBEC3F","PIAS2",NA,NA
"APOBEC3F","PIAS3",NA,NA
"APOBEC3F","PIAS4",NA,NA
"APOBEC3F","ZMIZ2","2.61","2.97"
"APOBEC3F","ZNF451",NA,NA
"APOL2","LAZSUL",NA,NA
"APOL2","NSMCE2",NA,NA
"APOL2","PIAS1",NA,NA
"APOL2","PIAS2",NA,NA
"APOL2","PIAS3",NA,NA
"APOL2","PIAS4",NA,NA
"APOL2","ZMIZ2","1.82","2.15"
"APOL2","ZNF451",NA,NA
"ARCN1","LAZSUL",NA,NA
"ARCN1","NSMCE2",NA,NA
"ARCN1","PIAS1","3.46","7.89"
"ARCN1","PIAS2",NA,NA
"ARCN1","PIAS3",NA,NA
"ARCN1","PIAS4",NA,NA
"ARCN1","ZMIZ2",NA,NA
"ARCN1","ZNF451",NA,NA
"ARFGEF1","LAZSUL",NA,NA
"ARFGEF1","NSMCE2",NA,NA
"ARFGEF1","PIAS1",NA,NA
"ARFGEF1","PIAS2",NA,NA
"ARFGEF1","PIAS3",NA,NA
"ARFGEF1","PIAS4",NA,NA
"ARFGEF1","ZMIZ2","2.16","3.43"
"ARFGEF1","ZNF451",NA,NA
"ARID1B","LAZSUL","1.37","4.16"
"ARID1B","NSMCE2",NA,NA
"ARID1B","PIAS1",NA,NA
"ARID1B","PIAS2",NA,NA
"ARID1B","PIAS3",NA,NA
"ARID1B","PIAS4",NA,NA
"ARID1B","ZMIZ2",NA,NA
"ARID1B","ZNF451",NA,NA
"ARID3A","LAZSUL",NA,NA
"ARID3A","NSMCE2",NA,NA
"ARID3A","PIAS1",NA,NA
"ARID3A","PIAS2",NA,NA
"ARID3A","PIAS3",NA,NA
"ARID3A","PIAS4","7.44","11.15"
"ARID3A","ZMIZ2",NA,NA
"ARID3A","ZNF451",NA,NA
"ARID5A","LAZSUL",NA,NA
"ARID5A","NSMCE2",NA,NA
"ARID5A","PIAS1",NA,NA
"ARID5A","PIAS2",NA,NA
"ARID5A","PIAS3",NA,NA
"ARID5A","PIAS4","4.1","6.62"
"ARID5A","ZMIZ2",NA,NA
"ARID5A","ZNF451",NA,NA
"ARL6IP1","LAZSUL",NA,NA
"ARL6IP1","NSMCE2",NA,NA
"ARL6IP1","PIAS1",NA,NA
"ARL6IP1","PIAS2",NA,NA
"ARL6IP1","PIAS3",NA,NA
"ARL6IP1","PIAS4",NA,NA
"ARL6IP1","ZMIZ2","3.48","3.08"
"ARL6IP1","ZNF451",NA,NA
"ARL6IP5","LAZSUL",NA,NA
"ARL6IP5","NSMCE2",NA,NA
"ARL6IP5","PIAS1",NA,NA
