"GENE_NAME","Sumo","Diff","minLogP","SATT index"
"AFG3L2","PIAS1",NA,NA,NA
"AFG3L2","PIAS2",NA,NA,NA
"AFG3L2","PIAS3",NA,NA,NA
"AFG3L2","PIAS4",NA,NA,NA
"AFG3L2","LAZSUL",0.33,1.93,0.378520066
"AFG3L2","ZNF451",NA,NA,NA
"AFG3L2","ZMIZ2",NA,NA,NA
"AGO2","NSMCE2",NA,NA,NA
"AGO2","PIAS1",NA,NA,NA
"AGO2","PIAS2",NA,NA,NA
"AGO2","PIAS3",NA,NA,NA
"AGO2","PIAS4",NA,NA,NA
"AGO2","LAZSUL",0.62,1.45,3.198232892
"AGO2","ZNF451",NA,NA,NA
"AGO2","ZMIZ2",NA,NA,NA
"AGPAT2","NSMCE2",NA,NA,NA
"AGPAT2","PIAS1",NA,NA,NA
"AGPAT2","PIAS2",2.5,1.5,1.447723305
"AGPAT2","PIAS3",NA,NA,NA
"AGPAT2","PIAS4",NA,NA,NA
"AGPAT2","LAZSUL",NA,NA,NA
"AGPAT2","ZNF451",NA,NA,NA
"AGPAT2","ZMIZ2",NA,NA,NA
"AGPAT9","NSMCE2",NA,NA,NA
"AGPAT9","PIAS1",NA,NA,NA
"AGPAT9","PIAS2",NA,NA,NA
"AGPAT9","PIAS3",NA,NA,NA
"AGPAT9","PIAS4",NA,NA,NA
"AGPAT9","LAZSUL",0.57,1.96,2.665843673
"AGPAT9","ZNF451",NA,NA,NA
"AGPAT9","ZMIZ2",NA,NA,NA
"AGTRAP","NSMCE2",NA,NA,NA
"AGTRAP","PIAS1",NA,NA,NA
"AGTRAP","PIAS2",NA,NA,NA
"AGTRAP","PIAS3",NA,NA,NA
"AGTRAP","PIAS4",NA,NA,NA
"AGTRAP","LAZSUL",NA,NA,NA
"AGTRAP","ZNF451",NA,NA,NA
"AGTRAP","ZMIZ2",0.29,1.59,1.185923247
"ALG1","NSMCE2",NA,NA,NA
"ALG1","PIAS1",NA,NA,NA
"ALG1","PIAS2",NA,NA,NA
"ALG1","PIAS3",NA,NA,NA
"ALG1","PIAS4",NA,NA,NA
"ALG1","LAZSUL",0.59,1.69,1.050706923
