"GENE_NAME","Sumo","Diff","minLogP","SATT index"
"AATF","NSMCE2",4.74,6.13,0.115311679
"AATF","PIAS1",NA,NA,NA
"AATF","PIAS2",NA,NA,NA
"AATF","PIAS3",NA,NA,NA
"AATF","PIAS4",NA,NA,NA
"ACAD9","NSMCE2",NA,NA,NA
"ACAD9","PIAS1",NA,NA,NA
"ACAD9","PIAS2",1.28,2.93,0.02230108
"ACAD9","PIAS3",NA,NA,NA
"ACAD9","PIAS4",NA,NA,NA
"ACADVL","NSMCE2",NA,NA,NA
"ACADVL","PIAS1",NA,NA,NA
"ACADVL","PIAS2",1.53,1.4,0.734300718
"ACADVL","PIAS3",NA,NA,NA
"ACADVL","PIAS4",NA,NA,NA
"ACTN1","NSMCE2",NA,NA,NA
"ACTN1","PIAS1",NA,NA,NA
"ACTN1","PIAS2",0.41,1.95,-0.045005283
"ACTN1","PIAS3",NA,NA,NA
"ACTN1","PIAS4",NA,NA,NA
"ACTN4","NSMCE2",NA,NA,NA
"ACTN4","PIAS1",NA,NA,NA
"ACTN4","PIAS2",0.38,2.54,-0.493803806
"ACTN4","PIAS3",NA,NA,NA
"ACTN4","PIAS4",NA,NA,NA
"ADCK5","NSMCE2",NA,NA,NA
"ADCK5","PIAS1",2.46,1.93,0.648863122
"ADCK5","PIAS2",NA,NA,NA
"ADCK5","PIAS3",NA,NA,NA
"ADCK5","PIAS4",NA,NA,NA
"ADPGK","NSMCE2",0.47,1.5,0.278071387
"ADPGK","PIAS1",NA,NA,NA
"ADPGK","PIAS2",NA,NA,NA
"ADPGK","PIAS3",NA,NA,NA
"ADPGK","PIAS4",NA,NA,NA
"AGPS","NSMCE2",NA,NA,NA
"AGPS","PIAS1",NA,NA,NA
"AGPS","PIAS2",0.18,1.46,-0.19935559
"AGPS","PIAS3",NA,NA,NA
"AGPS","PIAS4",NA,NA,NA
"ALG1","NSMCE2",0.46,1.68,0.07747346
"ALG1","PIAS1",NA,NA,NA
"ALG1","PIAS2",0.35,1.46,0.522817701
"ALG1","PIAS3",NA,NA,NA
"ALG1","PIAS4",NA,NA,NA
"ALG2","NSMCE2",NA,NA,NA
"ALG2","PIAS1",NA,NA,NA
"ALG2","PIAS2",3.07,1.64,-0.364916595
"ALG2","PIAS3",NA,NA,NA
"ALG2","PIAS4",NA,NA,NA
"ALPP","NSMCE2",NA,NA,NA
"ALPP","PIAS1",NA,NA,NA
"ALPP","PIAS2",NA,NA,NA
"ALPP","PIAS3",1.77,1.36,1.121050491
"ALPP","PIAS4",NA,NA,NA
"ANXA5","NSMCE2",2.55,1.62,1.189879916
"ANXA5","PIAS1",NA,NA,NA
"ANXA5","PIAS2",NA,NA,NA
"ANXA5","PIAS3",NA,NA,NA
"ANXA5","PIAS4",NA,NA,NA
"AP2B1","NSMCE2",NA,NA,NA
"AP2B1","PIAS1",NA,NA,NA
"AP2B1","PIAS2",0.66,2.38,0.359325128
"AP2B1","PIAS3",NA,NA,NA
"AP2B1","PIAS4",NA,NA,NA
"AP2M1","NSMCE2",NA,NA,NA
"AP2M1","PIAS1",NA,NA,NA
"AP2M1","PIAS2",0.76,2.4,0.169302971
"AP2M1","PIAS3",NA,NA,NA
"AP2M1","PIAS4",NA,NA,NA
"API5","NSMCE2",NA,NA,NA
"API5","PIAS1",NA,NA,NA
"API5","PIAS2",0.74,1.97,-0.254899962
"API5","PIAS3",NA,NA,NA
"API5","PIAS4",NA,NA,NA
"AQR","NSMCE2",NA,NA,NA
"AQR","PIAS1",NA,NA,NA
"AQR","PIAS2",0.21,1.33,0.296178409
"AQR","PIAS3",NA,NA,NA
"AQR","PIAS4",NA,NA,NA
"ARID5B","NSMCE2",NA,NA,NA
"ARID5B","PIAS1",0.46,1.3,0.594797633
"ARID5B","PIAS2",NA,NA,NA
"ARID5B","PIAS3",0.25,1.31,1.90598188
"ARID5B","PIAS4",1.21,1.31,0.05681864
"ARL1","NSMCE2",NA,NA,NA
"ARL1","PIAS1",NA,NA,NA
"ARL1","PIAS2",2.97,1.72,-0.04731325
"ARL1","PIAS3",NA,NA,NA
"ARL1","PIAS4",NA,NA,NA
"ARMC10","NSMCE2",NA,NA,NA
"ARMC10","PIAS1",NA,NA,NA
"ARMC10","PIAS2",0.47,1.67,0.031237094
"ARMC10","PIAS3",2.58,1.63,0.304115545
"ARMC10","PIAS4",NA,NA,NA
"ARMCX2","NSMCE2",NA,NA,NA
"ARMCX2","PIAS1",NA,NA,NA
"ARMCX2","PIAS2",0.41,1.47,-0.167929187
"ARMCX2","PIAS3",2.75,1.61,0.568258118
"ARMCX2","PIAS4",NA,NA,NA
