GENE_NAME,Sumo,Diff,minLogP
RBM25,PIAS4,NA,NA
RBM28,PIAS4,NA,NA
RNF216,PIAS4,NA,NA
RPL13,PIAS4,NA,NA
RPS27A,PIAS4,NA,NA
RRP15,PIAS4,NA,NA
RRS1,PIAS4,NA,NA
RSF1,PIAS4,NA,NA
RSL1D1,PIAS4,NA,NA
SAP130,PIAS4,NA,NA
SART1,PIAS4,NA,NA
SEC61A1,PIAS4,NA,NA
SETX,PIAS4,NA,NA
SLX4,PIAS4,NA,NA
SLX4IP,PIAS4,NA,NA
SMARCC1,PIAS4,NA,NA
SNIP1,PIAS4,NA,NA
SNW1,PIAS4,NA,NA
SOD1,PIAS4,NA,NA
SP100,PIAS4,NA,NA
SPRTN,PIAS4,NA,NA
SRRM1,PIAS4,NA,NA
SUMO1,PIAS4,NA,NA
SUMO2,PIAS4,NA,NA
SUMO3,PIAS4,NA,NA
TARDBP;TDP43,PIAS4,NA,NA
TCOF1,PIAS4,NA,NA
TERF2IP,PIAS4,NA,NA
TNRC18,PIAS4,NA,NA
TOP2A,PIAS4,NA,NA
TOP2B,PIAS4,NA,NA
TOPORS,PIAS4,NA,NA
TRIM28,PIAS4,NA,NA
TRIM33,PIAS4,NA,NA
USP39,PIAS4,NA,NA
UTP14A,PIAS4,NA,NA
UTP18,PIAS4,NA,NA
UTP3,PIAS4,NA,NA
WDR43,PIAS4,NA,NA
WDR75,PIAS4,NA,NA
WIZ,PIAS4,NA,NA
XRCC5,PIAS4,NA,NA
YEATS2,PIAS4,NA,NA
ZBTB1,PIAS4,NA,NA
ZBTB12,PIAS4,NA,NA
ZBTB2,PIAS4,NA,NA
ZBTB20,PIAS4,NA,NA
ZBTB25,PIAS4,NA,NA
ZBTB33,PIAS4,NA,NA
ZBTB38,PIAS4,NA,NA
ZBTB5,PIAS4,NA,NA
ZBTB9,PIAS4,NA,NA
ZC3H11A,PIAS4,NA,NA
ZCCHC7,PIAS4,NA,NA
ZFR,PIAS4,NA,NA
ZMYM2,PIAS4,NA,NA
ZMYM4,PIAS4,NA,NA
ZMYND8,PIAS4,NA,NA
ZNF106,PIAS4,NA,NA
ZNF131,PIAS4,NA,NA
ZNF251,PIAS4,NA,NA
ZNF280C,PIAS4,NA,NA
ZNF318,PIAS4,NA,NA
ZNF445,PIAS4,NA,NA
ZNF451,PIAS4,NA,NA
ZNF451-3,PIAS4,NA,NA
ZNF462,PIAS4,NA,NA
ZNF518A,PIAS4,NA,NA
ZNF644,PIAS4,NA,NA
ZNF687,PIAS4,NA,NA
ZNF800,PIAS4,NA,NA
ZNF827,PIAS4,NA,NA
ZNHIT6,PIAS4,NA,NA
ZXDC,PIAS4,NA,NA
