GENE_NAME,Sumo,Diff,minLogP
ZBTB20,NSMCE2,3.42,2.53
ZBTB25,NSMCE2,4.66,4.01
ZBTB33,NSMCE2,3.68,2.69
ZBTB38,NSMCE2,4.95,1.75
ZBTB5,NSMCE2,5.64,3.11
ZBTB9,NSMCE2,4.68,1.99
ZC3H11A,NSMCE2,4.52,2.36
ZCCHC7,NSMCE2,7.62,7.85
ZFR,NSMCE2,3.23,4.24
ZMYM2,NSMCE2,4.38,2.4
ZMYM4,NSMCE2,NA,NA
ZMYND8,NSMCE2,1.48,2.25
ZNF106,NSMCE2,5.02,3.78
ZNF131,NSMCE2,3.42,5.43
ZNF251,NSMCE2,NA,NA
ZNF280C,NSMCE2,0.97,3.77
ZNF318,NSMCE2,1.67,1.87
ZNF445,NSMCE2,2.89,1.71
ZNF451,NSMCE2,3.4,7.73
ZNF451-3,NSMCE2,5.71,4.53
ZNF462,NSMCE2,2.25,2.59
ZNF518A,NSMCE2,3.11,2.44
ZNF644,NSMCE2,1.85,2.9
ZNF687,NSMCE2,2.63,2.08
ZNF800,NSMCE2,2.34,2.37
ZNF827,NSMCE2,4.77,2.16
ZNHIT6,NSMCE2,3.17,1.67
ZXDC,NSMCE2,3.1,2.05
ATF6,PIAS1,NA,NA
BCL11B,PIAS1,NA,NA
BCLAF1,PIAS1,NA,NA
BHLHE40,PIAS1,NA,NA
BHLHE41,PIAS1,NA,NA
BNC2,PIAS1,NA,NA
BRD8,PIAS1,NA,NA
BRIX1,PIAS1,NA,NA
CASP8AP2,PIAS1,NA,NA
CCAR2,PIAS1,NA,NA
CDC5L,PIAS1,NA,NA
CDK11A,PIAS1,NA,NA
CENPC,PIAS1,NA,NA
CHD4,PIAS1,NA,NA
COIL,PIAS1,NA,NA
DDX18,PIAS1,NA,NA
DKC1,PIAS1,NA,NA
DNTTIP2,PIAS1,NA,NA
ELMSAN1,PIAS1,NA,NA
EMSY;C11orf30,PIAS1,NA,NA
ETV6,PIAS1,NA,NA
EXOSC10,PIAS1,NA,NA
FAM111A,PIAS1,NA,NA
FOSL2,PIAS1,NA,NA
FOXM1,PIAS1,NA,NA
FTSJ3,PIAS1,NA,NA
GLYR1,PIAS1,NA,NA
GTF2I,PIAS1,NA,NA
GTF2IRD1,PIAS1,NA,NA
HDAC1,PIAS1,NA,NA
HDX,PIAS1,NA,NA
HIPK1,PIAS1,NA,NA
HJURP,PIAS1,NA,NA
HMBOX1,PIAS1,NA,NA
HMG20B,PIAS1,NA,NA
HNRNPC,PIAS1,NA,NA
HNRNPM,PIAS1,NA,NA
HSF1,PIAS1,NA,NA
INTS12,PIAS1,NA,NA
KANSL1,PIAS1,NA,NA
KCTD1,PIAS1,NA,NA
KDM4A,PIAS1,NA,NA
KDM5B,PIAS1,NA,NA
KIAA1551,PIAS1,NA,NA
LAMB2,PIAS1,NA,NA
LAS1L,PIAS1,NA,NA
LMNA,PIAS1,NA,NA
LMNB1,PIAS1,NA,NA
LMNB2,PIAS1,NA,NA
